"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Lou Trivino","","RP","41.5","37","0","0","2","4.53","1.39","21","40","18","6","41","2","2"
"Kaleb Ort","LAA","RP","36.1","36","0","0","2","4.60","1.38","18","32","17","5","36","2","2"
"Jorge Lopez","","RP","33.7","28","0","1","2","4.45","1.36","17","34","12","4","34","2","2"
"Luis Curvelo","TEX","RP","31.5","29","0","1","2","4.50","1.36","16","29","13","4","30","2","2"
"Richard Lovelady","NYM","RP","21.4","20","0","0","2","3.98","1.28","9","20","8","3","21","1","1"
"Juan Burgos","ARI","RP","32.7","27","0","0","2","4.48","1.43","16","33","14","4","32","2","2"
"Sam Bachman","LAA","RP","32.5","27","0","0","2","4.44","1.45","16","32","16","4","31","2","2"
"Danny Young","ATL","RP","18.9","20","0","0","2","3.90","1.35","8","17","9","2","20","1","1"
"Sean Guenther","DET","RP","19.0","15","0","0","2","3.93","1.30","8","19","6","2","18","1","1"
"Chris Devenski","PIT","RP","27.3","23","0","1","2","4.44","1.33","13","27","9","4","26","1","1"
"Jayden Murray","HOU","RP","29.4","25","0","0","2","4.48","1.38","15","29","12","4","29","1","1"
"Genesis Cabrera","PHI","RP","25.9","24","0","0","2","4.57","1.40","13","25","11","4","25","1","1"
"Jackson Kowar","SEA","RP","28.6","27","0","0","2","4.61","1.42","15","27","14","4","28","1","2"
"Marc Church","TEX","RP","35.5","33","0","1","2","4.85","1.54","19","34","21","5","34","2","2"
"T.J. McFarland","","RP","29.4","20","0","1","2","4.46","1.42","15","32","10","3","31","1","2"
"Yilber Diaz","ARI","RP","30.3","29","1","0","2","4.81","1.53","16","29","17","4","23","1","1"
"Sam Long","","RP","21.5","20","0","1","2","4.81","1.51","12","22","11","3","22","1","2"
"Dedniel Nunez","NYM","RP","5.2","5","0","0","2","3.52","1.30","2","4","2","1","5","0","0"
"Antonio Senzatela","COL","SP,RP","61.1","37","0","0","2","5.42","1.58","37","76","21","10","37","2","4"
"Cody Ponce","TOR","SP,RP","141.5","144","0","0","1","4.11","1.25","65","131","45","19","37","8","8"
"Sean Manaea","NYM","SP,RP","128.8","132","0","0","1","4.15","1.21","59","115","41","19","34","8","7"
"Reid Detmers","LAA","RP","138.3","153","0","0","1","4.20","1.28","65","125","51","19","30","7","8"
"Joey Cantillo","CLE","SP,RP","132.9","140","0","0","1","3.91","1.31","58","117","57","16","42","7","7"
"Mike Burrows","HOU","SP,RP","130.1","129","0","0","1","4.13","1.26","60","119","45","19","31","7","7"
"Braxton Ashcraft","PIT","SP,RP","131.3","118","0","0","1","3.92","1.29","57","128","41","14","37","7","7"
"Foster Griffin","WSH","RP","136.0","127","0","0","1","4.16","1.27","63","131","43","17","32","7","8"
"Michael Soroka","ARI","SP,RP","132.7","130","0","0","1","4.22","1.28","62","121","49","17","39","7","7"
"Ian Seymour","TB","SP,RP","110.7","106","0","0","1","4.16","1.24","51","103","34","16","31","6","6"
"Brad Lord","WSH","SP,RP","137.9","106","0","0","1","4.41","1.35","68","139","48","17","36","7","8"
"Troy Melton","DET","SP,RP","108.3","96","0","0","1","4.24","1.28","51","104","35","15","35","5","6"
"Drew Anderson","DET","RP","96.3","102","0","0","1","4.20","1.30","45","85","40","13","32","5","5"
"Joe Boyle","TB","SP,RP","99.6","109","0","0","1","4.18","1.36","46","82","53","12","25","5","6"
"Janson Junk","MIA","SP,RP","94.8","68","0","0","1","4.38","1.28","46","100","22","12","36","5","5"
"Hunter Barco","PIT","SP,RP","93.8","85","0","0","1","4.15","1.35","43","88","39","11","32","4","5"
"Sean Newcomb","CWS","SP,RP","95.4","87","0","0","1","4.14","1.37","44","91","39","11","43","4","5"
"J.T. Ginn","ATH","SP,RP","89.4","83","0","0","1","4.30","1.33","43","87","32","12","27","4","5"
"Jacob Latz","TEX","SP,RP","106.4","101","0","0","1","4.37","1.39","52","96","52","14","39","4","5"
"Ben Brown","CHC","SP,RP","54.2","59","0","0","1","3.93","1.22","24","49","17","7","35","3","3"
"Payton Tolle","BOS","SP,RP","55.4","59","0","0","1","4.02","1.24","25","50","19","8","30","3","3"
"Colin Rea","CHC","SP,RP","79.6","63","0","0","1","4.46","1.30","39","80","23","12","35","4","4"
"Yoendrys Gomez","TB","SP,RP","75.4","73","0","0","1","4.47","1.34","37","70","31","11","38","4","4"
"Keider Montero","DET","SP,RP","81.3","67","0","0","1","4.56","1.35","41","81","28","12","33","4","5"
"Tobias Myers","NYM","SP,RP","56.9","48","0","0","1","4.22","1.28","27","56","17","8","36","3","3"
"Emerson Hancock","SEA","SP,RP","55.3","44","0","0","1","4.33","1.31","27","54","18","8","35","3","3"
"Mason Fluharty","TOR","RP","42.2","44","0","0","1","4.00","1.29","19","37","18","5","41","2","2"
"Jordan Wicks","CHC","SP,RP","45.3","41","0","0","1","4.03","1.29","20","44","15","5","28","2","2"
"Dauri Moreta","","RP","33.6","39","0","0","1","3.84","1.26","14","28","15","4","34","2","2"
"Trevor McDonald","SF","SP,RP","61.1","48","0","0","1","4.37","1.37","30","62","22","7","20","3","4"
