Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dean Kremer","BAL",9,9,,4.27699,27,26,0,0,,147.3,622,145,76,70,21,45,0,4,124,7.57637,2.74949,2.75556,1.2831,0.199357,0.0723473,0.12700964510440826,0.253054,1.28988,0.28972,0.709838,,,4.30282,1.67611,1.34201,999,,,,,,,555.7200225830079,3.7727088327876053,564.5000152587891,3.832315027586502,,,,,,,,,,,,,,,,,,,"Dean Kremer","19350",665152
"Edward Cabrera","CHC",8,6,,3.87692,25,25,0,0,,130,542,105,61,56,16,51,0,8,139,9.62308,3.53077,2.72549,1.10769,0.256458,0.0940959,0.16236162930727005,0.217391,1.2,0.271341,0.711078,,,3.95821,1.67439,1.96991,999,,,,,,,593.2,4.563076923076923,543,4.176923076923077,,,,,,,,,,,,,,,,,,,"Edward Cabrera","21690",665795
"Brandon Sproat","MIL",7,7,,4.19952,27,26,0,1,,124.3,536,114,63,58,14,47,0,9,110,7.9646,3.40306,2.34043,1.01368,0.205224,0.0876866,0.11753730475902557,0.2375,1.29525,0.280899,0.693069,,,4.18099,1.67167,1.45447,999,,,,,,,507.2200225830078,4.080611505470392,495.50001525878906,3.986323435989504,,,,,,,,,,,,,,,,,,,"Brandon Sproat","33850",687075
"Quinn Priester","MIL",9,7,,4.09091,28,23,0,0,,143,608,133,70,65,17,48,0,7,123,7.74126,3.02098,2.5625,1.06993,0.202303,0.0789474,0.12335526943206787,0.240506,1.26573,0.280872,0.706107,,,4.11416,1.66604,1.87947,999,,,,,,,584.3,4.0860139860139855,575,4.020979020979021,,,,,,,,,,,,,,,,,,,"Quinn Priester","25977",682990
"Bryce Miller","SEA",7,6,,4.02439,23,23,0,0,,123,507,109,59,55,16,36,1,5,109,7.97561,2.63415,3.02778,1.17073,0.21499,0.0710059,0.14398422092199326,0.233906,1.17886,0.272727,0.701468,,,4.05384,1.65327,1.25962,999,,,,,,,525.0000000000001,4.26829268292683,502,4.08130081300813,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Chad Patrick","MIL",7,8,,4.36765,31,25,0,0,,136,575,126,71,66,21,44,1,6,132,8.73529,2.91176,3,1.38971,0.229565,0.0765217,0.1530434787273407,0.24,1.25,0.282258,0.704125,,,4.30425,1.62013,1.32902,999,,,,,,,534.5000000000001,3.9301470588235303,521,3.8308823529411766,,,,,,,,,,,,,,,,,,,"Chad Patrick","30113",694477
"Ben Brown","CHC",6,6,,4.10334,24,15,0,1,,98.7,419,88,49,45,12,34,0,3,106,9.66565,3.1003,3.11765,1.09422,0.252983,0.0811456,0.171837717294693,0.230366,1.23607,0.287879,0.693916,,,3.69238,1.61987,1.10827,999,,,,,,,458.9799774169922,4.6502532077856005,442.49998474121094,4.483282658795378,,,,,,,,,,,,,,,,,,,"Ben Brown","23590",676962
"Carmen Mlodzinski","PIT",7,7,,3.59299,39,13,0,1,,102.7,437,97,44,41,9,34,0,4,89,7.79942,2.97955,2.61765,0.788705,0.203661,0.0778032,0.1258581206202507,0.243108,1.27556,0.292359,0.734797,,,3.6512,1.60555,1.87432,999,,,,,,,465.0799774169922,4.528529612823445,464.49998474121094,4.522882166932346,,,,,,,,,,,,,,,,,,,"Carmen Mlodzinski","27572",669387
"Jacob Lopez","ATH",7,7,,3.9793,25,19,0,0,,106.3,453,93,51,47,14,42,0,7,115,9.73659,3.55597,2.7381,1.18532,0.253863,0.0927152,0.16114789247512817,0.230198,1.26999,0.287273,0.727903,,,4.06646,1.60504,1.5366,999,,,,,,,455.62002258300794,4.286171302941216,432.50001525878906,4.068673592118369,,,,,,,,,,,,,,,,,,,"Jacob Lopez","25098",682052
"Cade Horton","CHC",8,7,,3.888,26,25,0,0,,125,513,109,58,54,16,37,0,5,109,7.848,2.664,2.94595,1.152,0.212476,0.0721248,0.14035087078809738,0.231422,1.168,0.268786,0.711974,,,4.06314,1.59785,1.95319,999,,,,,,,536.8000000000001,4.2944,509,4.072,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
