Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zach Fruit","BAL",0.0488,0.0722,0.0574,5.39253,0.1886,0.1726,0,0,,1,4.519,1.1064,0.6408,0.59917,0.163111,0.4756,0.0045,0.0436,0.6817,6.1353,4.2804,1.43335,1.468,0.150852,0.105245,0.04560742527246475,0.276614,1.582,0.298983,0.695308,0.43491,,5.44978,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Zach Fruit","sa3023507",688396
"Nate Peterson","CIN",0.0439,0.0689,0.0351,5.25708,0.4855,0.1095,0,0,,1,4.478,1.1018,0.6234,0.58412,0.175556,0.4383,0.0127,0.0326,0.6896,6.2064,3.9447,1.57335,1.58,0.153997,0.0978785,0.05611880123615265,0.274962,1.5401,0.2948,0.708247,0.406835,,5.45086,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nate Peterson","sa3020804",685396
"Michael Caldon","BAL",0.0469,0.0679,0.0391,5.41953,0.4113,0.1253,0,0,,1,4.493,1.0933,0.6401,0.60217,0.177556,0.4472,0.0107,0.0426,0.7294,6.5646,4.0248,1.63104,1.598,0.162341,0.0995326,0.0628088116645813,0.273107,1.5405,0.29576,0.696946,0.386818,,5.45396,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Michael Caldon","sa3067147",828511
"Franklin Gomez","CLE",0.0447,0.0745,0.0546,5.20947,0.2628,0.1568,0,0,,1,4.568,1.0971,0.6231,0.57883,0.138,0.5381,0.0066,0.0515,0.6209,5.5881,4.8429,1.15387,1.242,0.135924,0.117798,0.018126092851161957,0.275764,1.6352,0.297903,0.701872,0.464138,,5.45614,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Franklin Gomez","sa3019153",800338
"Xavier Rivas","NYY",0.0507,0.0705,0.0625,5.14368,0.1845,0.1735,0,0,,1,4.564,1.0368,0.6116,0.57152,0.156,0.5644,0.0044,0.0466,0.7694,6.9246,5.0796,1.36322,1.404,0.16858,0.123663,0.04491673409938812,0.262282,1.6012,0.290924,0.715649,0.405116,,5.45734,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Xavier Rivas","sa3040812",814392
"Yunior Tur","ATH",0.0485,0.0724,0.0578,5.32611,0.1977,0.1707,0,0,,1,4.479,1.0623,0.6301,0.59179,0.171333,0.4613,0.0047,0.0519,0.7222,6.4998,4.1517,1.56558,1.542,0.161241,0.102992,0.05824960023164749,0.267865,1.5236,0.290003,0.696017,0.387562,,5.45767,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yunior Tur","sa3021045",814305
"Anthony Flores","MIL",0.0459,0.0692,0.0438,5.15835,0.403,0.127,0,0,,1,4.56,1.0674,0.615,0.57315,0.145333,0.545,0.0106,0.0527,0.6788,6.1092,4.905,1.2455,1.308,0.14886,0.119518,0.029342100024223328,0.269389,1.6124,0.293823,0.707911,0.431439,,5.45997,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anthony Flores","sa3019377",800260
"Madison Bumgarner",,0.0462,0.0754,0.0577,5.43429,0.1754,0.1754,0,0,,1,4.464,1.1175,0.6392,0.60381,0.185889,0.3673,0.0058,0.0464,0.6661,5.9949,3.3057,1.8135,1.673,0.149216,0.0822805,0.06693548709154129,0.275905,1.4848,0.291282,0.690536,0.338997,,5.46059,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Madison Bumgarner","5524",518516
"Matthew Thompson",,0.0466,0.0744,0.0576,5.33412,0.1985,0.1705,0,0,,1,4.544,1.0437,0.6324,0.59268,0.157222,0.5558,0.0048,0.0436,0.7571,6.8139,5.0022,1.36218,1.415,0.166615,0.122315,0.04430016875267029,0.26459,1.5995,0.29254,0.701108,0.400989,,5.46303,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Matthew Thompson","sa3011866",683010
"Chung-Hsiang Huang","ARI",0.0452,0.0761,0.0534,5.62428,0.1853,0.1733,0,0,,1,4.566,1.1425,0.6666,0.62492,0.152444,0.4867,0.0044,0.046,0.625,5.625,4.3803,1.28416,1.372,0.136881,0.106592,0.030289091169834137,0.283267,1.6292,0.304085,0.679909,0.421572,,5.46501,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chung-Hsiang Huang","sa3067525",829473
"Christian Little","SEA",0.0465,0.075,0.0612,5.2551,0.1754,0.1754,0,0,,1,4.517,1.0772,0.6247,0.5839,0.160778,0.4809,0.0041,0.0456,0.6688,6.0192,4.3281,1.39073,1.447,0.148063,0.106464,0.04159840941429138,0.269941,1.5581,0.289922,0.700219,0.414006,,5.46715,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Christian Little","sa3036393",691733
"Ashton Izzi","ARI",0.0454,0.0762,0.0545,5.60205,0.1754,0.1754,0,0,,1,4.564,1.1516,0.665,0.62245,0.149222,0.4832,0.0042,0.0432,0.593,5.337,4.3488,1.22724,1.343,0.12993,0.105872,0.024057842791080475,0.285219,1.6348,0.304177,0.680137,0.4346,,5.46823,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ashton Izzi","sa3022230",802416
