"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Dennis Santana","PIT","RP","69.2","64","4","24","3.95","1.26","30","63","24","7","68","0","3","0"
"Gerrit Cole","NYY","SP","120.9","122","8","0","3.84","1.17","52","106","35","17","21","21","6","1"
"David Peterson","NYM","SP","163.5","146","10","0","3.94","1.34","72","157","62","16","29","29","8","1"
"Jose Soriano","LAA","SP","169.8","155","10","0","3.84","1.33","72","154","72","14","31","31","10","0"
"Sean Manaea","NYM","SP,RP","128.8","132","8","0","4.15","1.21","59","115","41","19","34","22","7","0"
"Reese Olson","DET","SP","131.6","123","8","0","3.89","1.24","57","120","44","15","28","24","7","0"
"Quinn Priester","MIL","SP,RP","163.3","135","10","0","4.12","1.30","75","159","54","19","29","29","9","0"
"Brady Singer","CIN","SP","169.7","157","10","0","4.34","1.30","82","166","55","24","31","31","11","0"
"Ryan Walker","SF","RP","64.2","68","4","27","3.41","1.19","24","56","20","6","63","0","3","0"
"Michael Wacha","KC","SP","167.4","129","10","0","4.27","1.28","79","165","49","22","29","29","10","0"
"Yusei Kikuchi","LAA","SP","169.3","169","9","0","4.29","1.32","81","163","60","25","31","31","10","0"
"Abner Uribe","MIL","RP","71.8","85","4","18","3.07","1.20","24","55","31","5","72","0","3","0"
"Tatsuya Imai","HOU","SP","152.6","157","9","0","4.26","1.31","72","135","65","20","26","26","8","0"
"Logan Henderson","MIL","SP","126.7","128","7","0","4.15","1.21","58","114","40","20","32","22","7","0"
"Mitch Keller","PIT","SP","175.7","153","10","0","4.31","1.29","84","174","53","22","31","31","11","0"
"Brandon Pfaadt","ARI","SP","171.4","150","10","0","4.41","1.26","84","176","41","24","31","31","10","0"
"Kodai Senga","NYM","SP","114.9","115","7","0","3.96","1.31","51","101","50","14","28","20","6","0"
"Robert Suarez","ATL","RP","67.5","70","4","9","3.57","1.17","27","59","20","8","66","0","3","0"
"Griffin Jax","TB","RP","68.6","86","4","15","3.09","1.10","24","56","19","7","68","0","3","0"
"Brayan Bello","BOS","SP","157.8","129","10","0","4.24","1.34","74","156","55","18","28","28","9","0"
"Zach Eflin","BAL","SP","143.6","110","9","0","4.36","1.24","70","150","29","22","26","26","8","0"
"Jack Leiter","TEX","SP","151.5","146","9","0","4.31","1.30","73","135","62","21","28","28","9","0"
"Clay Holmes","NYM","SP","152.0","123","10","0","3.96","1.34","67","146","58","14","28","28","8","0"
"Grayson Rodriguez","LAA","SP","121.0","129","7","0","3.94","1.24","53","109","40","16","22","22","7","0"
"Luis Severino","ATH","SP","175.4","139","9","0","4.60","1.34","90","177","57","25","30","30","11","0"
"Parker Messick","CLE","SP","120.1","111","7","0","4.08","1.30","54","115","42","15","23","23","7","0"
"Ryan Weathers","NYY","SP","121.7","114","7","0","4.11","1.27","56","112","43","17","33","21","7","0"
"Grant Taylor","CWS","RP","77.0","91","4","5","3.36","1.20","29","63","29","6","70","1","4","0"
"Reid Detmers","LAA","RP","138.3","153","7","0","4.20","1.28","65","125","51","19","30","24","8","0"
"Chris Bassitt","","SP","159.9","145","10","0","4.22","1.32","75","156","56","21","29","29","9","1"
"Seth Lugo","KC","SP","162.3","135","9","0","4.37","1.31","79","161","53","23","28","28","9","0"
"Will Warren","NYY","SP","124.4","121","7","0","4.34","1.32","60","119","45","17","36","21","7","0"
"Jose Berrios","TOR","SP","134.5","112","7","0","4.39","1.30","66","133","42","21","38","20","7","0"
"Cade Cavalli","WSH","SP","137.9","117","7","0","4.24","1.34","65","136","49","16","26","26","9","0"
"Jameson Taillon","CHC","SP","155.1","119","9","0","4.45","1.24","77","155","38","25","27","27","9","0"
"Bryan Abreu","HOU","RP","68.9","91","4","4","3.18","1.18","24","52","29","7","68","0","3","0"
"Will Vest","DET","RP","68.1","69","4","7","3.38","1.20","26","60","21","6","66","0","3","0"
"Eduardo Rodriguez","ARI","SP","139.6","123","8","0","4.43","1.37","69","141","50","19","26","26","9","0"
"Braxton Ashcraft","PIT","SP,RP","131.3","118","7","0","3.92","1.29","57","128","41","14","37","22","7","0"
"Joey Cantillo","CLE","SP,RP","132.9","140","7","0","3.91","1.31","58","117","57","16","42","21","7","0"
"Edwin Uceta","TB","RP","72.0","86","4","13","3.78","1.20","30","60","27","10","68","0","4","0"
"Jeffrey Springs","ATH","SP","166.5","141","9","0","4.60","1.31","85","165","53","28","30","30","10","0"
"Reynaldo Lopez","ATL","SP","121.1","123","7","0","3.92","1.26","53","110","43","15","31","21","6","0"
"Tanner Scott","LAD","RP","64.7","73","4","4","3.52","1.22","25","54","25","7","63","0","3","0"
"Troy Melton","DET","SP,RP","108.3","96","5","0","4.24","1.28","51","104","35","15","35","17","6","0"
"Ian Seymour","TB","SP,RP","110.7","106","6","0","4.16","1.24","51","103","34","16","31","18","6","0"
"Michael McGreevy","STL","SP","143.4","99","8","0","4.14","1.29","66","149","35","17","29","24","8","0"
"Payton Tolle","BOS","SP,RP","55.4","59","3","0","4.02","1.24","25","50","19","8","30","5","3","0"
"Tyler Mahle","SF","SP","130.6","106","8","0","4.12","1.28","60","126","41","16","24","24","8","0"
"Chad Patrick","MIL","SP","137.0","129","8","0","4.34","1.28","66","130","45","21","26","26","8","0"
"Matthew Liberatore","STL","SP","146.0","119","8","0","4.40","1.31","71","146","46","19","28","28","9","0"
"Mike Burrows","HOU","SP,RP","130.1","129","7","0","4.13","1.26","60","119","45","19","31","24","7","0"
"Robert Garcia","TEX","RP","64.1","69","4","19","3.64","1.23","26","56","23","7","65","0","3","0"
"Seranthony Dominguez","CWS","RP","63.0","71","3","14","3.92","1.30","27","53","29","8","64","0","4","0"
"Riley O'Brien","STL","RP","63.7","65","3","16","3.66","1.31","26","55","28","5","62","0","3","0"
"Jonah Tong","NYM","SP","32.1","37","2","0","3.60","1.24","13","26","14","3","11","5","2","0"
"Cody Ponce","TOR","SP,RP","141.5","144","8","0","4.11","1.25","65","131","45","19","37","23","8","0"
"Landen Roupp","SF","SP","121.9","113","7","0","4.10","1.34","56","116","48","13","28","23","7","0"
"Cristian Javier","HOU","SP","142.7","130","8","0","4.73","1.34","75","131","60","23","27","27","9","0"
"Zebby Matthews","MIN","SP","119.5","117","7","0","4.10","1.24","54","117","30","17","34","20","6","0"
"Bailey Ober","MIN","SP","142.4","129","8","0","4.35","1.20","69","138","34","24","31","24","8","1"
"Lucas Giolito","","SP","151.9","136","8","0","4.67","1.37","79","149","59","24","28","28","10","0"
"Zack Littell","","SP","167.7","128","9","0","4.55","1.26","85","175","35","28","30","30","10","1"
"Robert Stephenson","LAA","RP","57.8","65","3","11","4.00","1.20","26","50","19","9","55","0","3","0"
"Jacob Lopez","ATH","SP","128.0","134","8","0","4.32","1.29","61","114","51","19","24","24","8","0"
"Andrew Painter","PHI","SP","115.3","102","6","0","4.62","1.38","59","116","43","18","28","21","7","0"
"Justin Steele","CHC","SP","84.9","80","6","0","3.64","1.18","34","78","23","9","16","16","4","0"
"Kirby Yates","LAA","RP","56.5","67","3","9","3.99","1.28","25","46","26","8","55","0","3","0"
"Dean Kremer","BAL","SP","154.2","130","9","0","4.46","1.30","76","152","48","23","28","28","9","0"
"Jordan Leasure","CWS","RP","65.6","73","3","9","4.19","1.30","31","56","29","10","66","0","4","0"
"Luis Gil","NYY","SP","102.0","101","5","0","4.36","1.34","49","87","49","14","38","14","5","0"
"Kyle Finnegan","DET","RP","64.1","60","4","4","3.82","1.27","27","59","23","7","63","0","3","0"
"Clayton Beeter","WSH","RP","63.4","74","3","13","3.84","1.34","27","51","34","6","58","0","3","0"
"Slade Cecconi","CLE","SP","149.7","124","8","0","4.46","1.26","74","150","39","24","28","28","10","0"
"Dustin May","STL","SP","140.8","125","7","0","4.28","1.31","67","132","52","17","32","24","9","0"
"Victor Vodnik","COL","RP","64.5","61","3","18","4.28","1.46","31","63","31","7","62","0","4","0"
"Jordan Wicks","CHC","SP,RP","45.3","41","2","0","4.03","1.29","20","44","15","5","28","3","2","0"
