Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",141,624,500,144,76,25,1,42,107,115,113,23,153,6,5,0,14,8,2,0.288,0.18109,0.245192,0.738562,0.421474,0.594,0.419441,1.01547,0.306,3.80363,0.329032,,-0.354523,127.629,53.8981,174.609,-0.354523,5.5,54.517326444387436,-1.3783068656921387,7.63416,999,,,,,,,1146,8.127659574,1146,8.127659574,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",152,696,592,171,84,30,5,52,138,138,95,16,166,5,4,0,6,29,5,0.288851,0.136494,0.238506,0.572289,0.389368,0.619932,0.417332,1.0093,0.331081,7.04885,0.314815,,2.64333,141.163,58.9255,171.98,2.64333,0,62.020106077194214,-17.5,6.92412,999,,,,,,,1311,8.625,1311,8.625,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Cal Raleigh","SEA",152,621,538,124,61,22,0,41,82,108,75,10,168,5,3,0,6,7,2,0.230483,0.120773,0.270531,0.446429,0.328502,0.5,0.349363,0.828502,0.269517,3.02577,0.25,,-0.283854,91.682,18.3061,131.738,-0.283854,9.9,22.94598725438118,21.308730125427246,6.71462,999,,,,,,,853.3,5.613815789,853.3,5.613815789,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",152,658,598,169,99,34,9,27,98,93,46,6,117,7,7,0,8,32,9,0.282609,0.0699088,0.177812,0.393162,0.337386,0.505017,0.355688,0.842403,0.222408,7.50942,0.308026,,1.7505,100.524,22.776,126.547,1.7505,7.1,22.33877944946289,14.353086471557617,6.07114,999,,,,,,,946.7,6.228289473,946.7,6.228289473,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",152,670,538,146,85,23,1,37,109,103,124,9,116,3,4,1,14,23,3,0.271375,0.185075,0.173134,1.06897,0.408072,0.524164,0.39766,0.932235,0.252788,4.962,0.280206,,2.03131,125.189,46.0229,161.296,2.03131,-6.9,50.70569705963135,-14.285361766815186,6.00691,999,,,,,,,1116.1,7.342763157,1116.1,7.342763157,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",151,672,596,157,99,30,1,27,102,90,58,2,121,12,6,0,8,23,4,0.263423,0.0863095,0.18006,0.479339,0.337798,0.45302,0.341643,0.790818,0.189597,5.38242,0.286344,,1.85945,94.9995,15.5976,122.923,1.85945,5.7,20.11638629436493,13.107407093048096,5.68667,999,,,,,,,872.2,5.77615894,872.2,5.77615894,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Gunnar Henderson","BAL",152,651,574,156,91,32,5,28,99,90,67,3,141,6,4,0,6,21,4,0.271777,0.102919,0.21659,0.475177,0.351767,0.491289,0.360986,0.843056,0.219512,6.29194,0.312958,,1.49906,102.254,25.3338,134.658,1.49906,-2.4,28.091304421424866,4.775925636291504,5.65518,999,,,,,,,931.8,6.130263157,931.8,6.130263157,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152,666,609,162,102,29,2,29,94,98,46,5,148,9,2,0,13,27,6,0.26601,0.0690691,0.222222,0.310811,0.325826,0.463054,0.337997,0.78888,0.197044,5.80063,0.306452,,1.93944,92.1799,13.4868,123.909,1.93944,6.7,20.70683479309082,9.147089719772339,5.3997,999,,,,,,,865.8,5.696052631,865.8,5.696052631,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"William Contreras","MIL",152,648,566,153,101,31,1,20,87,82,75,4,124,3,4,0,17,6,2,0.270318,0.115741,0.191358,0.604839,0.356481,0.434629,0.343987,0.79111,0.164311,3.6188,0.312207,,-0.774328,92.8399,16.2737,121.982,-0.774328,1.5,16.108076691627502,13.404762268066406,5.2253,999,,,,,,,814.2,5.356578947,814.2,5.356578947,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Fernando Tatis Jr.","SDP",147,644,562,149,93,28,2,26,101,80,74,4,126,6,2,0,11,25,5,0.265125,0.114907,0.195652,0.587302,0.35559,0.460854,0.35312,0.816444,0.19573,5.77949,0.298544,,1.83673,97.0422,20.9486,131.222,1.83673,9.6,25.667945384979248,2.501235008239746,5.07421,999,,,,,,,882.9,6.006122448,882.9,6.006122448,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",152,661,574,147,80,27,13,27,112,92,70,3,140,10,5,2,5,35,6,0.256098,0.1059,0.2118,0.5,0.344461,0.489547,0.356029,0.834008,0.233449,8.47005,0.291262,,3.50643,101.165,23.0625,128.492,3.50643,7.2,25.827646017074585,-0.08615541458129883,4.8837,999,,,,,,,945.1,6.217763157,945.1,6.217763157,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"José Ramírez","CLE",148,637,564,153,93,31,3,26,91,88,63,19,73,4,6,0,7,28,6,0.271277,0.0989011,0.1146,0.863014,0.345369,0.475177,0.342902,0.820546,0.203901,5.9439,0.269639,,2.21206,90.7029,15.4364,121.941,2.21206,3.7,18.684754371643066,6.040534973144531,4.77286,999,,,,,,,881.6,5.956756756,881.6,5.956756756,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Pete Crow-Armstrong","CHC",152,614,560,143,84,28,6,25,91,91,33,1,151,9,6,6,2,32,8,0.255357,0.0537459,0.245928,0.218543,0.304276,0.460714,0.326599,0.764991,0.205357,7.66295,0.302564,,2.29865,79.3006,6.75178,111.108,2.29865,13.4,10.382311344146729,15.656025409698486,4.75408,999,,,,,,,755.6,4.971052631,755.6,4.971052631,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Adley Rutschman","BAL",133,559,489,124,76,28,1,19,65,66,62,2,89,3,5,0,10,1,0,0.253579,0.110912,0.159213,0.696629,0.338104,0.431493,0.334054,0.769597,0.177914,2.42329,0.272021,,-0.717633,75.5805,9.53029,116.105,-0.717633,6.7,9.893249034881592,16.969694137573242,4.7169,999,,,,,,,667.8,5.021052631,667.8,5.021052631,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Kyle Tucker","LAD",136,579,496,133,75,25,2,31,87,96,78,5,82,2,2,1,9,21,3,0.268145,0.134715,0.141623,0.951219,0.368512,0.514113,0.376492,0.882625,0.245968,5.36868,0.264935,,1.9812,98.2347,29.8214,144.004,1.9812,0.9,32.17805624008179,-5.482275128364563,4.70221,999,,,,,,,895.6,6.585294117,895.6,6.585294117,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Alejandro Kirk","TOR",126,476,418,113,82,17,0,14,43,62,48,2,56,4,6,0,15,1,0,0.270335,0.10084,0.117647,0.857143,0.346639,0.411483,0.330931,0.758122,0.141148,1.50007,0.279661,,-0.671421,63.1515,6.90839,113.113,-0.671421,13.9,6.685461044311523,22.644855499267578,4.67706,999,,,,,,,553.6,4.393650793,553.6,4.393650793,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Mookie Betts","LAD",137,613,532,146,91,30,2,23,91,87,71,3,72,4,6,0,9,9,2,0.274436,0.115824,0.117455,0.986111,0.360522,0.468045,0.357043,0.828567,0.193609,4.56975,0.277652,,-0.0951075,94.3232,21.8926,130.68,-0.0951075,-3.7,22.19494868069887,3.0570547580718994,4.67022,999,,,,,,,836.7,6.10729927,836.7,6.10729927,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ronald Acuña Jr.","ATL",119,529,444,127,78,21,1,27,101,71,78,3,110,6,1,0,8,24,5,0.286036,0.147448,0.20794,0.709091,0.398866,0.52027,0.395262,0.919136,0.234234,5.80102,0.324675,,1.70275,97.8131,35.3077,155.881,1.70275,-4.4,36.73896777629852,-10.231128692626953,4.51278,999,,,,,,,871.2,7.321008403,871.2,7.321008403,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr.","TOR",152,663,578,168,104,32,0,32,93,102,75,9,89,6,4,0,19,5,2,0.290657,0.113122,0.134238,0.842697,0.375566,0.512111,0.377676,0.887676,0.221453,2.70965,0.295011,,-0.980929,113.124,34.7852,145.315,-0.980929,-1.2,34.42896753549576,-13.380335092544556,4.48825,999,,,,,,,1003.3,6.600657894,1003.3,6.600657894,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Trea Turner","PHI",135,603,555,158,109,28,3,18,87,73,40,1,112,5,3,0,10,26,4,0.284685,0.066335,0.185738,0.357143,0.33665,0.443243,0.337611,0.779893,0.158559,6.29062,0.327103,,2.55187,83.2712,12.0221,115.249,2.55187,2.1,13.45015287399292,8.746825218200684,4.32362,999,,,,,,,770.5,5.707407407,770.5,5.707407407,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Elly De La Cruz","CIN",152,656,589,154,94,30,7,23,100,87,62,6,174,3,1,1,11,40,10,0.26146,0.0945122,0.265244,0.356322,0.334351,0.453311,0.337974,0.787662,0.191851,7.64392,0.333333,,2.89477,90.7837,13.2722,112.228,2.89477,0.2,12.402249574661255,7.431040480732918,4.26219,999,,,,,,,859.5,5.654605263,859.5,5.654605263,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Willy Adames","SFG",152,650,572,137,83,27,1,26,85,85,68,2,157,4,6,0,10,11,3,0.23951,0.104615,0.241538,0.433121,0.321538,0.426573,0.324268,0.748112,0.187063,4.32368,0.281013,,-0.0386081,82.7201,5.91763,110.113,-0.0386081,4.8,7.752064660191536,11.964903354644775,4.22987,999,,,,,,,752.1,4.948026315,752.1,4.948026315,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Junior Caminero","TBR",151,637,585,158,95,27,0,36,83,115,44,1,119,3,5,0,24,6,1,0.270085,0.0690738,0.186813,0.369748,0.321821,0.500855,0.350436,0.822676,0.230769,3.12828,0.28046,,-0.140353,94.5994,19.3329,125.064,-0.140353,-2.2,18.677193447947502,0.1405348777770996,4.16844,999,,,,,,,866.1,5.735761589,866.1,5.735761589,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Wyatt Langford","TEX",142,599,522,135,82,28,2,23,83,75,68,3,135,5,4,0,7,21,5,0.258621,0.113523,0.225376,0.503704,0.347245,0.452107,0.345635,0.799353,0.193487,5.33213,0.304348,,1.14896,86.621,15.8446,124.044,1.14896,8.6,18.12393832206726,1.9972667694091797,4.16799,999,,,,,,,787.7,5.547183098,787.7,5.547183098,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Bo Bichette","NYM",137,598,555,163,114,31,1,17,73,80,37,1,97,3,3,0,16,5,4,0.293694,0.0618729,0.162207,0.381443,0.339465,0.445045,0.339505,0.78451,0.151351,2.91001,0.328829,,-1.64813,83.5001,12.8418,121.458,-1.64813,4.8,13.560199975967407,6.997237205505371,4.13885,999,,,,,,,731.5,5.339416058,731.5,5.339416058,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Ketel Marte","ARI",132,563,490,131,78,26,3,24,81,78,62,5,91,6,5,0,11,5,1,0.267347,0.110124,0.161634,0.681319,0.353464,0.479592,0.356231,0.833055,0.212245,4.58135,0.281579,,-0.340353,86.2588,19.736,128.631,-0.340353,0.8,18.76423606276512,2.868636190891266,4.12974,999,,,,,,,772.4,5.851515151,772.4,5.851515151,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Geraldo Perdomo","ARI",152,603,504,132,90,25,4,13,86,68,74,1,76,8,7,10,6,20,5,0.261905,0.12272,0.126036,0.973684,0.360877,0.404762,0.337493,0.765639,0.142857,5.97556,0.281991,,0.823527,83.2133,11.9642,115.794,0.823527,1.5,12.111426174640656,8.146825313568115,4.12526,999,,,,,,,722.7,4.754605263,722.7,4.754605263,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Matt Chapman","SFG",133,547,473,116,66,26,1,23,79,66,64,1,134,7,3,0,8,7,2,0.245243,0.117002,0.244973,0.477612,0.341865,0.450317,0.344054,0.792182,0.205074,4.20849,0.291536,,-0.316862,78.399,13.7668,123.666,-0.316862,5,15.026157140731812,7.009847164154053,4.11653,999,,,,,,,694.6,5.22255639,694.6,5.22255639,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Pete Alonso","BAL",152,663,584,160,84,37,1,38,84,113,57,6,145,14,8,0,21,1,1,0.273973,0.0859729,0.218703,0.393103,0.348416,0.535959,0.372643,0.884375,0.261986,2.12273,0.298288,,-1.19317,110.414,32.0758,142.688,-1.19317,-3,32.16425120830536,-15.18033504486084,4.07238,999,,,,,,,994.3,6.541447368,994.3,6.541447368,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Zach Neto","LAA",143,592,528,136,79,31,1,25,85,82,41,4,142,18,3,2,10,23,8,0.257576,0.0692568,0.239865,0.288732,0.330508,0.462121,0.340657,0.79263,0.204545,5.58154,0.304945,,0.439237,83.2162,13.2669,118.032,0.439237,-0.7,13.020637065172195,5.825573265552521,4.01289,999,,,,,,,762.5,5.332167832,762.5,5.332167832,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Corey Seager","TEX",113,493,430,112,69,22,0,21,64,63,56,9,90,4,3,0,10,2,0,0.260465,0.11359,0.182556,0.622222,0.348884,0.45814,0.344221,0.807024,0.197674,2.53501,0.282609,,-0.392201,70.7263,12.4746,123.07,-0.392201,3.2,13.012738704681396,8.634303331375122,3.95083,999,,,,,,,642.2,5.68318584,642.2,5.68318584,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Drake Baldwin","ATL",123,485,434,115,70,23,1,21,56,71,45,1,92,5,1,0,10,0,0,0.264977,0.0927835,0.189691,0.48913,0.340206,0.467742,0.34911,0.807948,0.202765,1.5916,0.291925,,-0.785599,71.504,14.1976,124.266,-0.785599,-0.1,13.163069188594818,8.810200117528439,3.89906,999,,,,,,,629.8,5.120325203,629.8,5.120325203,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Nico Hoerner","CHC",151,634,580,161,121,28,3,9,82,62,40,1,57,10,4,0,8,26,6,0.277586,0.0630915,0.0899054,0.701754,0.332808,0.382759,0.314543,0.715566,0.105172,6.04562,0.293436,,1.62061,75.6779,0.765876,102.849,1.62061,10.9,3.761750817298889,13.229511737823486,3.89653,999,,,,,,,687.1,4.550331125,687.1,4.550331125,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Roman Anthony","BOS",134,588,501,134,85,28,3,18,88,71,78,1,143,5,4,0,6,8,4,0.267465,0.132653,0.243197,0.545455,0.369048,0.443114,0.354925,0.812161,0.175649,4.74951,0.337209,,-1.14055,89.4655,19.9888,124.842,-1.14055,7.3,16.075881719589233,0.8185186386108398,3.79911,999,,,,,,,769.9,5.745522388,769.9,5.745522388,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Michael Harris II","ATL",152,609,574,158,103,29,4,22,74,80,24,1,118,5,4,2,8,19,5,0.275261,0.0394089,0.19376,0.20339,0.308072,0.454704,0.326517,0.762776,0.179443,5.75244,0.310502,,0.887594,78.6144,6.6564,108.789,0.887594,7.2,7.231481909751892,9.4376540184021,3.77847,999,,,,,,,733.6,4.826315789,733.6,4.826315789,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Will Smith","LAD",117,487,413,106,66,20,1,19,67,66,58,3,94,9,7,0,8,2,1,0.256659,0.119097,0.193018,0.617021,0.355236,0.447942,0.347324,0.803178,0.191283,3.05371,0.283388,,-0.867735,71.0926,13.5498,124.022,-0.867735,-1.4,12.997899949550629,7.546943306922913,3.75972,999,,,,,,,624.9,5.341025641,624.9,5.341025641,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Dansby Swanson","CHC",146,601,543,131,86,24,2,19,78,71,52,1,155,3,3,0,9,14,3,0.241252,0.0865225,0.257903,0.335484,0.309484,0.39779,0.308742,0.707274,0.156538,5.16797,0.301075,,0.647214,68.9083,-2.10452,98.8757,0.647214,9.9,-0.15362423658370972,16.524779319763184,3.72076,999,,,,,,,633.4,4.338356164,633.4,4.338356164,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Jackson Merrill","SDP",136,547,500,135,86,24,5,20,71,75,36,2,104,3,5,3,5,6,3,0.27,0.0658135,0.190128,0.346154,0.319853,0.458,0.332621,0.777853,0.188,5.04537,0.301837,,-0.840558,73.3218,8.68948,117.18,-0.840558,5.4,10.297329127788544,7.409847259521484,3.67363,999,,,,,,,662.1,4.868382352,662.1,4.868382352,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Riley Greene","DET",147,619,557,149,88,29,3,29,83,98,54,2,168,4,4,0,10,3,2,0.267504,0.0872375,0.271405,0.321429,0.33441,0.486535,0.351121,0.820945,0.219031,3.72834,0.32967,,-1.16968,92.2705,19.1309,126.167,-1.16968,3.3,17.92107403278351,-3.5231921672821045,3.65285,999,,,,,,,825.3,5.614285714,825.3,5.614285714,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Freddie Freeman","LAD",136,597,520,150,89,37,2,22,82,82,64,8,110,8,5,0,10,8,2,0.288462,0.107203,0.184255,0.581818,0.371859,0.494231,0.369013,0.86609,0.205769,4.22873,0.3257,,-0.229091,97.6632,27.123,138.88,-0.229091,-1,27.281037211418152,-11.967813491821289,3.5989,999,,,,,,,871.1,6.405147058,871.1,6.405147058,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"James Wood","WSN",152,656,571,150,87,34,3,26,88,93,79,5,194,3,3,0,8,15,6,0.262697,0.120427,0.295732,0.407216,0.353659,0.469352,0.353913,0.823011,0.206655,4.994,0.350282,,-0.539778,99.2728,21.7614,128.047,-0.539778,-0.7,21.266711473464966,-7.931040465831757,3.59741,999,,,,,,,886.8,5.834210526,886.8,5.834210526,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Patrick Bailey","SFG",121,430,387,89,62,16,2,9,45,46,34,0,112,2,5,2,9,2,0,0.229974,0.0790698,0.260465,0.303571,0.292056,0.351421,0.283179,0.643477,0.121447,3.82142,0.295203,,-0.246964,40.3775,-10.4303,81.9652,-0.246964,21.7,-9.438185334205627,29.59976577758789,3.52649,999,,,,,,,365.6,3.021487603,365.6,3.021487603,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Jeremy Peña","HOU",141,593,543,146,102,26,2,16,73,66,34,1,107,11,3,2,10,16,4,0.268877,0.0573356,0.180438,0.317757,0.323181,0.412523,0.320486,0.735704,0.143646,5.18953,0.307329,,0.598086,73.6452,3.57772,105.89,0.598086,2.7,4.714721620082855,9.23659634590149,3.5156,999,,,,,,,666,4.723404255,666,4.723404255,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Jarren Duran","BOS",150,643,580,150,85,39,9,17,86,75,51,1,148,8,3,1,5,23,5,0.258621,0.0793157,0.230171,0.344595,0.325545,0.444828,0.332415,0.770373,0.186207,7.28134,0.318182,,1.60837,86.0822,10.1068,109.336,1.60837,10.6,8.683517336845398,3.5122580528259277,3.51206,999,,,,,,,790.9,5.272666666,790.9,5.272666666,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Konnor Griffin","PIT",128,591,532,139,97,25,3,14,101,76,35,1,152,19,3,2,6,32,10,0.261278,0.0592217,0.257191,0.230263,0.327674,0.398496,0.318711,0.72617,0.137218,7.33905,0.338753,,1.31458,72.5453,2.71411,102.029,1.31458,5,2.7359522581100464,11.51455020904541,3.46975,999,,,,,,,662.4,5.175,662.4,5.175,,,,,,,,,,,,,,,,,,,"Konnor Griffin","sa3065496",804606
"Byron Buxton","MIN",116,473,424,106,56,22,4,24,75,67,37,3,130,8,4,0,2,14,0,0.25,0.0782241,0.274841,0.284615,0.319239,0.490566,0.343577,0.809805,0.240566,7.38147,0.29927,,2.15304,67.61,11.7214,120.463,2.15304,2,13.560981512069702,3.7379482984542847,3.43553,999,,,,,,,643.4,5.546551724,643.4,5.546551724,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Ceddanne Rafaela","BOS",148,582,542,143,91,31,4,17,83,75,27,0,122,8,3,2,10,20,7,0.263838,0.0463918,0.209622,0.221311,0.306897,0.429889,0.318156,0.736786,0.166052,6.41951,0.310345,,0.301568,71.178,2.4102,99.5133,0.301568,11,-0.032294899225234985,13.138447999954224,3.3904,999,,,,,,,654.7,4.423648648,654.7,4.423648648,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Steven Kwan","CLE",149,648,580,163,126,24,3,10,84,61,57,1,57,5,3,3,6,18,5,0.281034,0.087963,0.087963,1,0.348837,0.384483,0.324055,0.73332,0.103448,5.31865,0.296512,,0.3179,82.3535,5.78727,108.958,0.3179,10.6,7.159361511468887,3.4571433067321777,3.36809,999,,,,,,,719.7,4.830201342,719.7,4.830201342,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
"Brent Rooker","ATH",152,634,563,155,87,32,2,34,84,110,61,3,157,6,4,0,9,6,1,0.275311,0.0962145,0.247634,0.388535,0.350158,0.520426,0.370382,0.870584,0.245115,3.80351,0.321809,,-0.20637,104.421,29.509,136.867,-0.20637,0,27.342139452695847,-16.30658531188965,3.36166,999,,,,,,,938.4,6.17368421,938.4,6.17368421,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Cody Bellinger","NYY",141,605,542,143,94,25,2,22,84,90,50,3,86,3,10,0,8,12,3,0.263838,0.0826446,0.142149,0.581395,0.323967,0.439114,0.327081,0.763081,0.175277,4.9495,0.272523,,0.220807,78.3749,6.88947,110.986,0.220807,10.6,8.054349303245544,3.931128978729248,3.35673,999,,,,,,,722.9,5.126950354,722.9,5.126950354,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Manny Machado","SDP",145,616,558,144,94,27,0,23,76,84,52,4,122,2,4,0,18,9,2,0.258065,0.0844156,0.198052,0.42623,0.321429,0.430108,0.323928,0.751536,0.172043,3.59116,0.290168,,0.0303243,78.2232,5.43808,111.225,0.0303243,1.7,8.225651070475578,3.963374614715576,3.34393,999,,,,,,,716.4,4.940689655,716.4,4.940689655,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Shea Langeliers","ATH",136,543,495,127,70,27,1,29,70,93,40,1,120,4,4,0,12,5,1,0.256566,0.0736648,0.220994,0.333333,0.314917,0.490909,0.343351,0.805826,0.234343,3.69327,0.28,,-0.155507,77.5161,13.3565,118.246,-0.155507,-7.6,11.521827310323715,2.3757500648498535,3.33403,999,,,,,,,711.5,5.231617647,711.5,5.231617647,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Jordan Westburg","BAL",112,466,430,112,65,24,2,21,69,66,29,0,107,6,1,0,7,4,2,0.260465,0.0622318,0.229614,0.271028,0.315451,0.472093,0.338505,0.787544,0.211628,4.54472,0.30033,,-0.679202,64.6905,9.62905,119.172,-0.679202,4.7,9.850662231445312,6.4122278690338135,3.30488,999,,,,,,,582.6,5.201785714,582.6,5.201785714,,,,,,,,,,,,,,,,,,,"Jordan Westburg","27815",676059
"Michael Busch","CHC",146,586,513,132,74,27,3,28,82,87,62,2,142,8,3,0,6,3,0,0.25731,0.105802,0.242321,0.43662,0.34471,0.48538,0.356452,0.83009,0.22807,4.2028,0.300578,,-0.337438,89.8877,20.6473,131.559,-0.337438,1.6,21.581009715795517,-9.165726065635681,3.26496,999,,,,,,,800.5,5.482876712,800.5,5.482876712,,,,,,,,,,,,,,,,,,,"Michael Busch","26319",683737
"Maikel Garcia","KCR",152,635,571,150,104,30,5,11,82,67,54,0,98,1,6,3,12,25,7,0.262697,0.0850394,0.154331,0.55102,0.324367,0.390543,0.312855,0.71491,0.127846,6.35624,0.297009,,1.08371,74.9268,-0.103314,97.041,1.08371,8.7,-1.1308772563934326,11.033186197280884,3.24924,999,,,,,,,680.8,4.478947368,680.8,4.478947368,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Yordan Alvarez","HOU",112,473,401,116,68,23,1,24,64,72,60,9,83,6,6,0,8,2,1,0.289277,0.12685,0.175476,0.722892,0.384778,0.531172,0.385516,0.91595,0.241895,2.62862,0.306667,,-0.834727,83.7159,27.8273,150.687,-0.834727,0,27.42240685224533,-12.165637969970703,3.22659,999,,,,,,,745.6,6.657142857,745.6,6.657142857,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Gabriel Moreno","ARI",100,367,327,91,65,16,1,9,44,45,34,2,62,3,3,0,11,3,2,0.278287,0.0926431,0.168937,0.548387,0.348774,0.415902,0.333158,0.764676,0.137615,3.41799,0.316602,,-0.879202,49.3539,5.99004,112.825,-0.879202,7.8,4.699238121509552,14.542357444763184,3.21791,999,,,,,,,430.4,4.304,430.4,4.304,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Matt Olson","ATL",152,661,575,144,80,33,1,30,86,91,77,4,159,5,4,0,13,1,0,0.250435,0.11649,0.240545,0.484277,0.341906,0.467826,0.348101,0.809732,0.217391,2.46332,0.292308,,-0.843065,96.9103,18.8081,123.575,-0.843065,3.9,17.62584376335144,-8.243591785430908,3.20994,999,,,,,,,862.7,5.675657894,862.7,5.675657894,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Austin Riley","ATL",124,539,488,128,75,26,2,25,72,72,40,1,138,7,4,0,11,2,1,0.262295,0.0742115,0.25603,0.289855,0.324675,0.477459,0.343603,0.802134,0.215164,3.5334,0.31307,,-0.80832,77.0551,13.3681,120.493,-0.80832,-1.2,12.283195614814758,0.7804526090621948,3.17131,999,,,,,,,692.6,5.58548387,692.6,5.58548387,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Andy Pages","LAD",147,589,535,138,82,29,2,25,73,84,37,0,129,10,6,1,8,9,4,0.257944,0.0628183,0.219015,0.286822,0.314626,0.459813,0.33261,0.774439,0.201869,4.31097,0.29199,,-0.689685,78.9463,9.35136,113.943,-0.689685,0.1,9.043610215187073,2.264168120920658,3.16186,999,,,,,,,715.2,4.865306122,715.2,4.865306122,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Jackson Chourio","MIL",150,630,585,160,95,39,4,22,91,94,36,2,128,3,5,1,13,23,7,0.273504,0.0571429,0.203175,0.28125,0.316375,0.466667,0.334117,0.783042,0.193162,6.31322,0.313636,,0.861958,85.2124,10.773,115.22,0.861958,-4.6,12.226798295974731,-2.2851850986480713,3.16165,999,,,,,,,794.8,5.298666666,794.8,5.298666666,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Ian Happ","CHC",149,638,548,134,78,33,1,22,82,79,81,2,151,5,4,0,9,8,2,0.244526,0.126959,0.236677,0.536424,0.344828,0.428832,0.337716,0.77366,0.184307,3.92119,0.295515,,-0.288506,88.1589,12.7743,118.724,-0.288506,2.6,13.869709640741348,-4.432628154754639,3.13726,999,,,,,,,778.2,5.222818791,778.2,5.222818791,,,,,,,,,,,,,,,,,,,"Ian Happ","17919",664023
