Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nelson Velázquez","STL",107,401,362,79,49,15,1,14,45,48,34,1,107,3,2,0,8,7,3,0.218232,0.084788,0.266833,0.317757,0.289277,0.381215,0.292777,0.670492,0.162983,4.38918,0.26749,,-0.389694,40.7792,-6.60207,88.2947,-0.389694,0,-5.952853739261627,-10.313785552978516,-0.299292,999,,,,,,,377.1,3.524299065,377.1,3.524299065,,,,,,,,,,,,,,,,,,,"Nelson Velazquez","23359",676369
"Rainer Nunez",,104,411,382,91,67,13,1,10,39,47,24,0,107,3,2,0,14,1,0,0.23822,0.0583942,0.260341,0.224299,0.287105,0.356021,0.282524,0.643126,0.117801,2.61147,0.303371,,-0.420557,38.3747,-10.1882,79.7674,-0.420557,0.7,-10.22147312760353,-6.850705444812775,-0.29939,999,,,,,,,347.9,3.345192307,347.9,3.345192307,,,,,,,,,,,,,,,,,,,"Rainer Nunez","sa3005551",678742
"JT Schwartz","NYM",96,385,345,77,55,16,1,5,36,39,30,0,77,7,2,1,7,1,2,0.223188,0.0779221,0.2,0.38961,0.296875,0.318841,0.276394,0.615716,0.0956522,2.44546,0.271698,,-1.22639,34.031,-11.4597,78.2248,-1.22639,2.5,-11.162519216537476,-4.573045253753662,-0.29942,999,,,,,,,292.6,3.047916666,292.6,3.047916666,,,,,,,,,,,,,,,,,,,"JT Schwartz","sa3017371",681286
"P.J. Hilson","PIT",89,326,304,69,48,12,2,7,43,33,13,0,92,5,2,2,2,6,2,0.226974,0.0398773,0.282209,0.141304,0.268519,0.348684,0.269784,0.617203,0.121711,6.15051,0.299517,,-0.0547451,27.0663,-11.4531,68.5122,-0.0547451,-2.8,-12.220920022577047,-1.6021751165390015,-0.304584,999,,,,,,,254.2,2.856179775,254.2,2.856179775,,,,,,,,,,,,,,,,,,,"P.J. Hilson","sa3007048",680713
"Casey Opitz","CHC",67,251,225,37,27,5,1,4,21,20,22,0,96,2,1,1,2,1,0,0.164444,0.0876494,0.38247,0.229167,0.244,0.248889,0.225904,0.492889,0.0844444,3.9372,0.261905,,-0.136685,11.8973,-17.7603,42.129,-0.136685,1.4,-17.35254767537117,6.011258006095886,-0.305961,999,,,,,,,113.9,1.7,113.9,1.7,,,,,,,,,,,,,,,,,,,"Casey Opitz","sa3017509",676053
"Devin Ortiz","CHC",116,479,429,92,75,11,1,5,47,40,38,1,112,5,1,6,12,8,4,0.214452,0.0793319,0.23382,0.339286,0.285412,0.27972,0.256186,0.565133,0.0652681,4.09392,0.277955,,-0.810465,34.4809,-22.1166,62.8729,-0.810465,1.2,-21.888056099414825,2.9599941968917847,-0.30608,999,,,,,,,303.8,2.618965517,303.8,2.618965517,,,,,,,,,,,,,,,,,,,"Devin Ortiz","sa3020345",668776
"Zander Darby","SFG",77,311,275,55,38,11,1,5,33,31,26,0,91,4,5,1,3,5,1,0.2,0.0836013,0.292605,0.285714,0.274194,0.301818,0.257877,0.576012,0.101818,4.92517,0.271739,,0.141569,22.8145,-13.9326,64.6326,0.141569,-1.6,-12.894826233386993,-0.45728981494903564,-0.307456,999,,,,,,,214.3,2.783116883,214.3,2.783116883,,,,,,,,,,,,,,,,,,,"Zander Darby","sa3025549",801592
"Tyler Dearden",,58,224,204,50,38,9,1,2,18,21,16,0,58,3,1,0,3,1,0,0.245098,0.0714286,0.258929,0.275862,0.308036,0.328431,0.284324,0.636467,0.0833333,3.35709,0.331034,,-0.176295,21.2422,-5.22517,79.6462,-0.176295,-2.7,-5.5498925894498825,-5.169135808944702,-0.30789,999,,,,,,,185.5,3.198275862,185.5,3.198275862,,,,,,,,,,,,,,,,,,,"Tyler Dearden","sa3005103",676280
"Mike Sirota","LAD",62,284,247,51,32,10,1,8,42,38,32,0,77,2,3,0,11,2,3,0.206478,0.112676,0.271127,0.415584,0.299296,0.352227,0.289479,0.651523,0.145749,4.26351,0.260606,,-1.26426,28.1207,-5.43611,84.397,-1.26426,-7,-6.516210317611694,-5.9564961194992065,-0.309389,999,,,,,,,245.9,3.966129032,245.9,3.966129032,,,,,,,,,,,,,,,,,,,"Mike Sirota","sa3042374",701527
"Diego Cartaya","SFG",85,355,318,59,38,11,0,10,37,35,28,1,125,7,2,0,9,0,0,0.185535,0.0788732,0.352113,0.224,0.264789,0.314465,0.2582,0.579254,0.128931,1.70942,0.264865,,-0.475321,26.1353,-15.8107,64.8538,-0.475321,-6.1,-15.263041257858276,0.42189884185791016,-0.310028,999,,,,,,,243.3,2.862352941,243.3,2.862352941,,,,,,,,,,,,,,,,,,,"Diego Cartaya","sa3008742",682616
