Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Reivaj Garcia,23,AAA,CHC,2B,1224.6,1140,1090,1140,854,1899
Kelvin Alcantara,19,CPX,SEA,CF,1225,,1291,,,1159
Jonathan Hogart,23,A,PHI,OF,1227,842,,1494,,1345
Matt Halbach,22,A,CHC,3B,1228.4,1034,1883,937,976,1312
Wallace Clark,23,A,ARI,3B,1229,,,,,1229
Yoneiker Lugo,18,DSL,MIL,C,1229,,1546,,,912
John Cruz,19,A,MIA,RF,1230,1160,2123,821,,816
Luis Durango,22,A+,NYY,LF,1230.3333333333333,1187,,1352,,1152
Ian Moller,22,AA,TEX,C,1230.4,620,2068,1103,686,1675
Vladi Gomez,19,CPX,NYM,2B,1231,,,,,1231
Manuel Palencia,22,AA,NYY,C,1231.25,1072,906,910,,2037
Alexis Hernandez,20,A+,CHC,2B,1231.75,758,2132,553,,1484
Trent Farquhar,24,AA,PHI,2B,1231.8,1178,1737,1284,572,1388
Anthony Prato,27,AAA,MIN,3B,1232.25,1474,967,1196,,1292
Jackson Hornung,24,AA,TOR,C,1232.4,724,1834,1000,649,1955
Jay Beshears,23,AA,MIA,SS,1232.8,935,1915,1117,481,1716
Easton Shelton,19,A+,LAD,1B,1233.5,,,815,,1652
Joe Redfield,23,AA,LAA,CF,1233.6,1109,940,1507,859,1753
Ethan Hedges,21,A+,COL,3B,1234.3333333333333,1206,,1575,,922
Erick Alvarez,20,A,TEX,CF,1237.6666666666667,781,,1259,,1673
Maximus Martin,21,A+,BOS,2B,1237.75,1087,1765,983,,1116
Caleb Roberts,25,AA,ARI,C,1238,1530,456,1545,1070,1589
Bryan Acuna,19,A,MIN,SS,1238.2,709,2175,922,672,1713
Ricardo Cabrera,20,A+,CIN,3B,1239.25,1024,1685,1932,,316
Theo Hardy,23,AAA,TEX,2B,1240,1511,,1711,848,890
Anthony DePino,22,A,CHW,1B,1242,1250,863,1428,,1427
Corey Joyce,26,AAA,CHC,3B,1242,1170,,1668,,888
Rubel Cespedes,24,AA,LAA,3B,1242.4,1002,1682,1070,874,1584
John Estevez,19,A,ATL,CF,1243.5,,,1322,,1165
Mason Guerra,22,A+,ATL,3B,1243.8,948,2166,771,754,1580
Ryan Lasko,23,AAA,ATH,CF,1245.2,1305,1850,473,385,2213
Wilman Diaz,21,A+,LAD,SS,1248,888,,1219,720,2165
James Taussig,22,A,CHW,OF,1248,,,,,1248
Brayan Buelvas,23,AA,ATH,CF,1248.8,1059,1058,1416,866,1845
Matthew Ferrara,18,A,PHI,2B,1250.6666666666667,735,,2141,,876
Jack Payton,23,A+,SFG,1B,1253.6,839,1803,965,931,1730
Yorvin Morla,19,DSL,SDP,2B,1254,,,,,1254
Josh Tate,21,A,PIT,OF,1254,1201,729,1573,,1513
P.J. Hilson,24,AA,PIT,CF,1254.75,1386,,949,913,1771
Wilme Mora,22,CPX,CHC,P,1255,,,,,1255
Jake Cunningham,22,A+,BAL,CF,1256,1037,945,1209,1001,2088
Everett Cooper III,21,A,WSN,SS,1256.75,1432,888,1699,,1008
Roni Cabrera,19,A,KCR,RF,1258,1469,2069,522,,972
Sandy Presbot,17,DSL,MIA,SS,1258,,1627,,,889
Johan Machado,17,DSL,MIA,SS,1259,,1639,,,879
Jose Rodriguez,20,A,MIN,RF,1259.25,915,,1387,831,1904
Maui Ahuna,23,A+,SFG,DH,1259.4,736,1795,1044,734,1988
Maick Collado,22,A+,CLE,1B,1259.8,1171,1736,1003,795,1594
Matt Klein,21,A,COL,C,1262,,,,,1262
Ryan Stafford,22,A+,BAL,C,1262.2,1177,1064,1381,797,1892
Adrian Gil,19,A,CHW,1B,1262.25,1336,2059,547,,1107
Chris Meyers,26,AA,DET,1B,1263,1184,1713,1462,923,1033
Hunter Fitz-Gerald,24,AA,SEA,3B,1263.4,657,1797,1148,873,1842
Jose D. Hernandez,22,A,LAD,1B,1265,,1516,,,1014
Grant Richardson,25,AAA,NYY,LF,1266.4,1113,1835,1700,943,741
Jorge Hernandez,19,A,KCR,3B,1266.6,979,1940,1271,744,1399
Ricardo Crespo,18,DSL,SFG,LF,1267,,,,,1267
Davis Wendzel,28,MLB,CIN,3B,1267,1637,,1059,,1105
Frederik Jimenez,20,A,BOS,1B,1267.4,1137,1924,883,967,1426
Stone Russell,21,AAA,KCR,2B,1267.8,1325,1762,1084,929,1239
Owen Cobb,24,A+,NYY,SS,1269.2,1459,360,1435,986,2106
Karniel Pratt,20,CPX,HOU,LF,1269.5,,1633,,,906
Felix Stevens,25,AA,CHC,RF,1269.75,1346,,1794,1275,664
Dencer Diaz,16,DSL,MIN,SS,1270,,,,,1270
Estivenzon Montero,18,DSL,NYY,CF,1270.5,,1218,,,1323
Alberto Barriga,20,A,ARI,C,1270.8,742,1846,939,828,1999
Josue Gonzalez,21,A,NYY,C,1271.25,1285,,1244,944,1612
Eyeksson Rojas,19,CPX,WSN,SS,1272,,,,,1272
Kenny Fenelon,17,DSL,MIL,CF,1272.5,,1442,,,1103
Davis Diaz,22,A+,ATH,C,1273.4,1245,1759,952,679,1732
Johan Macias,22,A,LAA,2B,1273.6,1318,664,1007,1039,2340
Angel Guzman,18,DSL,TOR,SS,1274,,1133,,,1415
Ryan Wideman,21,A,SDP,OF,1274,1073,496,1737,,1790
Angel Gonzalez,18,DSL,MIL,LF,1275.5,,1544,,,1007
Stiven Marinez,17,DSL,NYY,SS,1275.5,,1385,,,1166
Jose De Jesus,20,A,TEX,CF,1276,,,,,1276
Payton Henry,28,MLB,PHI,C,1276,1622,,1458,,748
Modeifi Marte,22,A+,ARI,1B,1277.4,898,1824,728,811,2126
Cleudis Valenzuela,18,DSL,BAL,2B,1278,,,,,1278
Edward Guribe,18,DSL,STL,CF,1278.5,,1217,,,1340
Gio Cueto,21,A+,LAD,C,1278.75,838,2004,1066,,1207
Christopher Alvarado,18,DSL,BOS,SS,1279,,1545,,,1013
TJayy Walton,20,A,PHI,LF,1280,1040,759,1511,,1810
Jordan Groshans,25,MLB,ATH,3B,1281.75,1165,,1441,647,1874
Jorge Julio,18,CPX,PHI,RF,1283,,,,,1283
Colin Barber,24,AAA,HOU,LF,1283,1117,1873,1289,778,1358
John Bay,24,A+,NYM,OF,1283,980,1744,1659,,749
Isaac Ponce,18,DSL,SDP,C,1284.5,,1645,,,924
Maddux Houghton,26,AAA,MIN,CF,1285.25,1716,704,842,,1879
Jefrank Silva,17,DSL,CHW,1B,1287,,,,,1287
Drew Compton,24,AA,ATL,1B,1288.6,748,1954,1499,890,1352
