Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Juan Chacon,22,AA,BOS,RF,1402.25,1016,,1627,711,2255
Nick Roselli,22,A+,NYM,2B,1402.6,1378,1947,1092,901,1695
Ivan Cespedes,19,DSL,CHC,C,1403.5,,1200,,,1607
Aaron Bracho,24,AA,LAD,1B,1404.6666666666667,1062,,1747,,1405
Omar De Los Santos,25,AAA,NYM,CF,1404.8,1612,199,1746,2264,1203
Ronny Ugarte,20,DSL,COL,1B,1406,,1484,,,1328
Garret Forrester,23,A+,MIA,3B,1406.4,858,2149,1312,786,1927
Eddy Rodriguez,21,A,PIT,LF,1407.4,1121,1714,942,1059,2201
Rafael Escalante,23,CPX,MIN,3B,1408,,,,,1408
Juan Corniel,22,AAA,ARI,SS,1408,1330,,894,605,2803
Oswaldo Linares,22,AA,SDP,C,1408.8,954,2113,1552,568,1857
Robin Ortiz,18,DSL,CHC,CF,1409,,,,,1409
Adam Zebrowski,24,AAA,ATL,C,1409.2,872,2098,1468,899,1709
Braden Shewmake,27,MLB,NYY,SS,1409.5,1539,867,1424,,1808
Calvin Harris,23,AA,CHW,C,1409.6,1148,2028,1086,727,2059
Luis Ariza,21,AA,TBR,SS,1410,,,,,1410
Carlos Bello,17,DSL,NYY,SS,1410.5,,1123,,,1698
Nick Peoples,20,A,WSN,CF,1411,1026,,1016,1076,2526
Jose Aular,21,AA,NYM,C,1411.5,,,1959,,864
Ian Daugherty,22,A,MIN,C,1412,,,,,1412
Damiano Palmegiani,25,AAA,TOR,1B,1413,1638,1597,2052,1095,683
Santiago Leon,17,DSL,MIN,SS,1414.5,,1496,,,1333
Frank Rodriguez,23,AAA,LAD,C,1415.4,1239,2138,989,509,2202
Zach Kokoska,26,AA,COL,1B,1416.25,1674,675,1741,,1575
Bracewell Taveras,19,A,STL,SS,1416.3333333333333,,1347,995,,1907
Caleb Ricketts,25,AA,PHI,C,1416.4,1258,1948,1603,907,1366
Cristofer Lebron,18,DSL,STL,SS,1416.5,,1187,,,1646
Jair Camargo,25,MLB,FA,C,1417.75,1494,,2082,1394,701
Ezequiel Aparicio,17,DSL,LAD,C,1418,,,,,1418
Jose Barrios,17,DSL,MIN,SS,1419,,1616,,,1222
Jack Collins,22,A,TEX,C,1419,,,,,1419
Raudelis Martinez,23,A+,BOS,C,1419.8,1128,1860,1206,741,2164
Enmanuel Ramirez,21,A,WSN,RF,1420,,1433,1122,,1705
Luis Rodriguez,20,A,LAA,SS,1420.6666666666667,,1475,1120,,1667
Zach Evans,22,A+,SDP,SS,1421,1278,1965,725,893,2244
Kodey Shojinaga,22,A+,PHI,C,1421.8,1173,2135,1182,684,1935
Luis Castillo,21,A+,MIL,LF,1423.3333333333333,1230,,2051,,989
Rashawn Pinder,18,CPX,TEX,LF,1423.5,,1199,,,1648
Roiner Quintana,20,CPX,HOU,CF,1424,,,,,1424
Jalen Vasquez,23,AA,BAL,SS,1427.75,1395,,1561,974,1781
Yhoswar Garcia,23,A+,MIL,LF,1428.75,1554,,997,1102,2062
Alec Makarewicz,24,AA,CHW,3B,1428.8,1337,706,1043,2314,1744
Murphy Stehly,26,AA,WSN,3B,1429,604,1888,1467,,1757
Ricardo Hurtado,22,A+,DET,C,1430.8,1352,1684,1115,1105,1898
Yorvit Diaz,17,DSL,ATH,SS,1431,,,,,1431
Jesus Bello,17,DSL,COL,C,1432,,,,,1432
Rafael Morel,23,AAA,CHC,SS,1432.25,1631,,914,597,2587
Juarlin Soto,18,DSL,TOR,SS,1433,,,,,1433
Miguel Briceno,21,A,MIN,2B,1433.25,1425,,1343,1112,1853
Engel Paulino,18,CPX,MIL,CF,1434,,,,,1434
Dominic Pitelli,23,AA,CIN,SS,1434.4,1174,976,1692,975,2355
Samuell Sanchez,19,DSL,DET,RF,1434.5,,1394,,,1475
Joe Vetrano,23,A+,LAD,1B,1435,1145,1742,959,960,2369
Jeremy Ciriaco,18,CPX,COL,CF,1436,,1328,,,1544
Stiven Flores,19,CPX,CHW,C,1436.5,,1271,,,1602
Ronald Ramirez,18,CPX,DET,SS,1436.5,,1649,,,1224
Elio Prado,23,AA,PHI,RF,1437.5,1363,,1550,955,1882
Gabriel Lara,19,CPX,NYY,CF,1438.5,,1344,,,1533
Yendry Rojas,20,A,SDP,SS,1439.25,1126,,1324,989,2318
Gian Zapata,19,CPX,ARI,CF,1439.5,,1103,,,1776
Matthew Moses,17,DSL,MIL,1B,1440,,,,,1440
Edgar Walker,17,DSL,PIT,OF,1440.5,,1422,,,1459
Anthony Silva,21,A,CLE,2B,1440.6666666666667,1175,,1731,,1416
Christian Astudillo,18,DSL,BAL,C,1441,,,,,1441
Poncho Ruiz,23,A+,MIN,C,1441.6,1229,2047,1300,803,1829
Darlyn De Leon,20,DSL,CHC,RF,1442.5,,1416,,,1469
Jaxson West,21,A,TOR,C,1443.3333333333333,1545,,1715,,1070
Owen Ayers,24,A,CHC,C,1443.4,1564,984,1708,1140,1821
Gery Holguin,19,A,MIL,SS,1444.2,1202,2170,1202,869,1778
Jhosman Theran,17,DSL,LAD,OF,1445,,,,,1445
Robert Lopez,21,A,CLE,C,1445,1283,,1664,1047,1786
Karson Simas,24,AAA,CHC,3B,1445.2,999,1955,1167,653,2452
Connor McGinnis,22,A+,NYY,2B,1445.3333333333333,1223,,1876,,1237
Lizandro Rodriguez,22,A+,TOR,2B,1445.3333333333333,1607,,1493,,1236
Jonathan Linares,20,A,LAA,C,1446,1074,1857,1635,,1218
Rafael Lantigua,27,AAA,PHI,2B,1446.75,1480,1673,1064,,1570
Leonard Rijo,17,DSL,MIL,SS,1447,,,,,1447
Joe Delossantos,24,A+,NYY,CF,1449,,837,,,2061
Matthew Ellis,24,A+,SEA,C,1449.2,1548,1927,1338,1041,1392
Esteban Romero,18,DSL,HOU,OF,1451,,,,,1451
Adbiel Feliz,18,DSL,PIT,SS,1452,,1099,,,1805
Jacob Friend,22,A,CIN,C,1452,1422,1895,1362,790,1791
Randy Soto,18,DSL,TOR,C,1452,,,,,1452
Damon Keith,25,AA,LAD,RF,1453.2,1192,1808,1665,1087,1514
Lou Albrecht,23,AA,PHI,C,1454,,,,,1454
Yoffry Solano,20,CPX,MIA,SS,1454,,1430,,,1478
Will Vierling,21,A,PHI,C,1455.6666666666667,1097,,1791,,1479
Pablo Aliendo,24,AA,CHC,C,1456,1142,1707,1407,1109,1915
Kevin Kilpatrick Jr.,24,AA,ATL,CF,1458.4,1213,1203,1663,1118,2095
Ariel Lebron,20,DSL,HOU,CF,1458.5,,1234,,,1683
Nick Dunn,28,AAA,SEA,3B,1460.25,1842,802,1224,,1973
Hyungchan Um,21,A,KCR,C,1460.4,1308,2084,1132,897,1881
Yosneiker Rivas,19,DSL,SFG,SS,1461,,1235,,,1687
Oswaldo Osorio,20,A,LAD,3B,1461.2,989,2114,1342,841,2020
Maikol Orozco,19,CPX,DET,2B,1463,,1320,,,1606
Marcelo Alcala,19,CPX,CHW,RF,1464,,1259,,,1669
JT Schwartz,25,AAA,NYM,1B,1464,1420,1823,1827,1000,1250
Taylor Young,26,AA,LAD,3B,1465,1454,817,1405,,2184
Garrett Howe,22,A+,CLE,CF,1465.2,1389,1755,852,949,2381
Luis Sanchez,17,DSL,CHC,OF,1465.5,,1168,,,1763
Mason Neville,21,A,CIN,OF,1465.6666666666667,950,,1612,,1835
Jan Luis Reyes,19,CPX,CHC,CF,1466,,,,,1466
Tre Richardson,23,A+,STL,2B,1466.4,1306,1683,1110,993,2240
Drake Logan,24,AAA,CHW,3B,1467,1340,789,885,2162,2159
Colin Yeaman,21,A,BAL,3B,1467.3333333333333,1221,,1818,,1363
Jose Torres,25,AAA,COL,SS,1469,1242,1697,1049,956,2401
Kenny Piper,26,AAA,TBR,C,1470.75,1529,1798,1517,,1039
Angelo Hernandez,19,CPX,CHW,C,1471,,1268,,,1674
Juan Pablo Cabrera,18,DSL,STL,C,1471.5,,1586,,,1357
Adriel Radney,18,DSL,ARI,RF,1472,,1306,,,1638
Jared Sprague-Lott,23,A,ATH,3B,1472,1364,1984,1269,1037,1706
Ali Camarillo,22,A+,ATH,SS,1472,1406,1812,882,764,2496
Carlos Rojas,22,A+,LAD,C,1472.25,1313,,1398,997,2181
Alexander Benua,21,A,ARI,LF,1472.4,863,1875,1292,948,2384
Brenden Dixon,24,AAA,PIT,3B,1473.25,1573,,1853,1119,1348
Stephen Paolini,24,AA,ATL,RF,1474.5,925,,1606,1017,2350
Juan Alva,19,DSL,MIA,SS,1474.5,,1371,,,1578
Tyriq Kemp,22,A,KCR,2B,1474.6666666666667,1452,,1752,,1220
Evan Estevez,17,DSL,SFG,LF,1475,,1533,,,1417
Jayln Pinder,17,DSL,TEX,2B,1475,,1137,,,1813
Bobby Blandford,22,A,ATH,OF,1478.75,806,2000,1345,,1764
Hunter Bishop,27,AAA,SFG,CF,1479,1657,1061,1450,,1748
Ike Irish,21,A,BAL,C,1479.3333333333333,1195,,1705,,1538
David Beckles,21,A,TOR,LF,1481.5,1309,1879,713,,2025
Alexander Frias,17,DSL,MIL,CF,1482,,1407,,,1557
Yerlin Confidan,22,A+,CIN,LF,1482,1138,2014,1121,1004,2133
Alexi Quiroz,18,DSL,HOU,C,1483,,,,,1483
Roinny Aguiar,20,A,PIT,2B,1483,,,1408,,1558
David Martin,24,AAA,ARI,DH,1483.5,,2044,,,923
Abel Bastidas,21,AAA,DET,3B,1484,944,2137,1303,638,2398
Jose Contreras,20,A,TBR,LF,1484.6666666666667,1345,,1482,,1627
Nayerich Waterfort,19,DSL,CIN,2B,1485.5,,1105,,,1866
Kaden Hopson,24,CPX,LAA,C,1486,,,,,1486
Easton Carmichael,21,A+,PIT,C,1487,1591,,2078,,792
Peyton Williams,24,AA,TOR,1B,1487.2,1248,1932,1601,1121,1534
Brennan Orf,23,A+,TOR,CF,1487.75,1028,1923,1822,,1178
Antoni Urena,18,DSL,LAD,SS,1488,,,,,1488
Jackson Cluff,28,AAA,NYM,SS,1488.25,1649,1725,1015,,1564
Romeli Espinosa,17,DSL,PHI,SS,1489.5,,1464,,,1515
Mac Guscette,23,A+,ATL,C,1490,1428,,1653,1046,1833
Victor Hurtado,18,DSL,WSN,LF,1490,,1331,,,1649
Abraham Bastidas,18,DSL,SDP,1B,1490.5,,1451,,,1530
Yeisy Celesten,20,DSL,TEX,1B,1491,,1520,,,1462
Oliver Carrillo,23,A+,HOU,RF,1491.25,1438,,1595,939,1993
Jaime Ferrer,22,A+,MIN,RF,1494.4,1252,1979,1253,973,2015
Djean Macares,17,DSL,SFG,CF,1495,,1490,,,1500
Jose Pitre,17,DSL,ARI,CF,1495,,,,,1495
Bohan Adderley,18,CPX,NYM,CF,1496,,,,,1496
Josh Rivera,24,AAA,TOR,SS,1496.6,902,2126,1258,845,2352
Alex De Jesus,23,AA,TOR,3B,1497.2,1264,2025,1833,987,1377
Carlos Monteverde,19,A,ATL,1B,1498.25,940,2118,1642,,1293
Julio Carreras,25,AAA,COL,SS,1498.5,1393,,1436,880,2285
Ruben Castillo,17,DSL,NYY,CF,1499,,1173,,,1825
Nick Monistere,21,A,HOU,3B,1499.4,1437,1011,1936,1286,1827
Jake Rucker,25,AAA,MIN,3B,1500.2,1477,1708,1602,1057,1657
Matt Kroon,28,AAA,PHI,LF,1500.6666666666667,1624,,1811,,1067
Manni Ramirez,18,DSL,TEX,RF,1501,,1535,,,1467
Cole Gabrielson,24,AA,NYY,RF,1501.75,1263,,1631,1026,2087
Bryce Madron,23,AA,STL,CF,1502,1643,,1690,703,1972
Jose Lavagnino,18,DSL,NYY,1B,1502,,,,,1502
Vance Honeycutt,22,A+,BAL,CF,1502.2,1017,1662,1135,888,2809
Yoiber Ocopio,20,A,SDP,C,1502.5,1050,1992,1010,,1958
John Rhodes,24,AA,LAD,3B,1502.75,1183,,1443,1071,2314
Brock Tibbitts,22,A,TOR,C,1502.8,1407,1081,1625,1106,2295
Nestor Miranda,19,DSL,DET,3B,1503,,1096,,,1910
Brett Auerbach,26,AAA,SFG,2B,1503,1274,,1703,,1532
Drew Brutcher,23,A+,HOU,CF,1504,1323,1982,1181,892,2142
Justin Dean,28,MLB,LAD,CF,1504.75,1654,1694,1017,,1654
Vinny Capra,28,MLB,CHW,3B,1505.3333333333333,1460,,1515,,1541
Kevin Bazzell,22,A,WSN,C,1506.8,1568,1872,1400,933,1761
Frederi Montero,18,CPX,MIL,SS,1507,,1558,,,1456
Larry Suero,17,DSL,COL,SS,1507.5,,1480,,,1535
Shai Robinson,21,A,MIN,2B,1508,,,,,1508
Jack Costello,24,A+,SDP,1B,1508.2,1518,1686,1299,1093,1945
Luis Mieses,25,AA,TEX,1B,1509,1286,,1472,1074,2204
Travis Blankenhorn,28,MLB,FA,DH,1509.6666666666667,1871,,1841,,817
Max Belyeu,21,A+,COL,OF,1511,1152,,1923,,1458
Dalton Shuffield,26,AAA,MIN,CF,1512,,,,,1512
Nick McLain,22,A,CHW,RF,1512.3333333333333,1182,,1509,,1846
Frandy Lafond,18,DSL,MIL,CF,1513.5,,1555,,,1472
Core Jackson,21,A+,NYY,2B,1514,835,2016,1910,,1295
Aldalay Kolokie,20,CPX,COL,CF,1516.5,,1138,,,1895
Nomar Diaz,21,A,SFG,C,1516.6666666666667,1122,,1837,,1591
Anthony Santa Cruz de Oviedo,18,DSL,LAA,1B,1517,,1176,,,1858
Josh Breaux,27,AAA,PHI,C,1517,1700,,1890,,961
Yhoangel Aponte,21,A,TOR,CF,1517,1381,1658,1247,1110,2189
Luke Mann,25,AAA,ATH,3B,1517.2,1241,1961,1257,881,2246
Myles Naylor,20,A,ATH,SS,1518.4,903,2041,1147,908,2593
Zane Zielinski,23,A+,SFG,SS,1518.5,1275,,1008,1107,2684
Sam Ruta,23,AA,KCR,3B,1518.6,827,2152,1431,911,2272
Dallas Macias,21,A,ATL,OF,1519,,,,,1519
Rodolfo Nolasco,23,AA,SFG,RF,1520,,,,,1520
Will Wilson,26,MLB,CLE,SS,1520.25,976,2024,1262,,1819
Santiago Pinto,19,DSL,DET,LF,1520.5,,1157,,,1884
Agustin Marcano,19,CPX,WSN,C,1522,,,,,1522
Tyler Dearden,26,AAA,MIN,RF,1522,1614,,1828,,1124
Juan Espinal,18,DSL,ATL,CF,1523,,1179,,,1867
Jefer Lista,17,DSL,MIL,1B,1523,,,,,1523
Carter Frederick,22,A+,KCR,RF,1523.2,1086,1791,1146,1034,2559
Teo Banks,21,A+,WSN,CF,1523.5,1412,899,1986,,1797
Travis Swaggerty,27,MLB,LAD,RF,1524.3333333333333,1934,,2032,,607
Maykel Minoso,19,A,TOR,C,1524.5,,,1621,,1428
Sean Barnett,22,A+,SDP,RF,1525.8,824,2150,1464,867,2324
GJ Hill,24,AA,COL,2B,1526.25,1394,,1753,1097,1861
Leiker Figueroa,20,A,ATL,3B,1526.3333333333333,1141,,1354,,2084
Cesar Paredes,17,DSL,LAA,SS,1526.5,,1413,,,1640
Juan Brima,17,DSL,ARI,SS,1527,,,,,1527
Miguel Villarroel,23,A+,STL,1B,1527.25,1302,,1290,1101,2416
David Carrera,18,DSL,NYY,RF,1529.5,,1528,,,1531
LuJames Groover,23,AA,ARI,3B,1530.2,659,5946,340,309,397
Junior Garcia,19,A,ATL,LF,1530.5,,1772,,,1289
Tyler Gentry,26,MLB,KCR,RF,1530.75,1589,1828,1564,,1142
Warel Solano,17,DSL,TBR,SS,1535,,1473,,,1597
Edwardo Espinal,19,A,LAA,CF,1535.8,955,2102,1704,926,1992
Michael Guzman,19,CPX,TEX,3B,1537,,,,,1537
Maykel Coret,17,DSL,TBR,CF,1538,,1471,,,1605
Tyler McDonough,26,AAA,BOS,2B,1538.25,1449,924,1562,,2218
Carter Graham,23,A+,CIN,1B,1539.4,1475,1815,935,1069,2403
Zach Morgan,25,AAA,SFG,C,1539.8,1574,1698,1687,731,2009
Micah McDowell,24,A+,MIA,CF,1539.8,1482,1781,1783,1016,1637
Herlinton Herrera,18,DSL,COL,SS,1540,,,,,1540
Luke Hanson,21,A+,TEX,3B,1540,1609,,1810,,1201
John Taylor,24,A+,TEX,2B,1540.25,1448,,1695,1021,1997
Carlos Linarez,23,AAA,STL,C,1540.8,1179,2171,1636,807,1911
AJ Salgado,23,A,NYM,1B,1542.3333333333333,1515,,1655,,1457
Leandro Alsinois,20,A,CHW,CF,1542.5,,,1012,,2073
Osmar Torrealba,18,DSL,CLE,CF,1543,,,,,1543
Aaron Schunk,27,MLB,ATL,2B,1543,1543,,1026,,2060
Ben Newton,23,AAA,OAK,2B,1544.5,1734,,1254,802,2388
Alex Stone,23,AA,TOR,C,1545.5,1509,,1812,1045,1816
Milo Rushford,21,A,KCR,CF,1545.75,1441,,1520,1050,2172
Jhonny Chaparro,18,DSL,STL,C,1546,,,,,1546
Andrews Sosa,20,A,HOU,C,1546.3333333333333,,1190,1439,,2010
Ramon Landaeta,19,CPX,ATH,C,1546.5,,1326,,,1767
Kiko Romero,24,AA,NYY,1B,1547,1455,,1922,,1264
Enderson Delgado,20,A,DET,C,1547,1228,1899,1817,,1244
Luis De Leon,19,CPX,SDP,LF,1548.5,,1314,,,1783
Nick Montgomery,19,A,ATL,C,1548.8,843,2165,1544,916,2276
Jack Blomgren,26,AA,HOU,2B,1550,,,1996,,1104
Tyler Whitaker,22,A+,HOU,CF,1550,1280,1822,1127,1029,2492
Greg Jones,27,MLB,FA,RF,1555,1837,,2017,,811
Geovanny Planchart,23,AA,TOR,C,1556.5,1600,,1645,1020,1961
Adam Retzbach,24,AA,BAL,C,1556.6,1279,2060,1138,1003,2303
Jacob Hurtubise,27,MLB,SEA,LF,1558,1806,,1881,,987
Kyle West,22,A,NYY,1B,1559,,,,,1559
Carlos Concepcion,19,DSL,SFG,RF,1559.5,,1171,,,1948
Benny Montgomery,22,AA,COL,CF,1560.2,910,2081,1646,1054,2110
Alcides Hernandez,20,CPX,SDP,C,1561.5,,1273,,,1850
Moises Alcala,22,CPX,ARI,C,1563,,,,,1563
Eduardo Lopez,23,A+,PHI,1B,1563,1387,,1786,,1516
Trevor Boone,27,AAA,COL,RF,1563,1785,765,1847,,1855
Camden Janik,22,A,PIT,C,1563.3333333333333,1291,,1434,,1965
Kleimir Lemos,20,A,TEX,1B,1565.6666666666667,,1402,857,,2438
Nick Biddison,24,AAA,PHI,RF,1566,1592,,1366,,1740
Zavier Warren,26,AA,CIN,SS,1566.5,1445,986,1497,,2338
Raul Pereira,17,DSL,TEX,SS,1567,,1115,,,2019
Carlos Franco,22,AA,OAK,C,1567.5,1599,,1151,722,2798
Luis Caicuto,22,AA,PHI,C,1567.5,1127,2121,1272,,1750
Ryan Daniels,21,A,MIN,OF,1568,,,,,1568
Brock Vradenburg,23,A+,PHI,1B,1568.4,1246,2032,1519,909,2136
Jalin Flores,21,A,STL,3B,1568.6666666666667,1006,,1784,,1916
Parker Chavers,26,AAA,CHC,CF,1569,1650,981,1661,,1984
Damon Dues,27,AA,SDP,2B,1569,1147,,1698,,1862
Livan Soto,25,MLB,BAL,2B,1569,1463,,1801,932,2080
Tres Gonzalez,24,AA,PIT,CF,1569,1357,2036,1629,876,1947
Enmanuel Terrero,22,A+,PIT,RF,1570.6666666666667,1322,,1643,,1747
Miguel Useche,24,A+,CHC,C,1571,,,,,1571
Colin Summerhill,23,A+,LAA,C,1572.25,1436,,1225,1096,2532
Luis Reyes,21,A,CIN,1B,1572.25,1571,,1542,1127,2049
Yohander Linarez,20,A,BOS,3B,1573.6666666666667,1439,,1212,,2070
Andru Arthur,19,CPX,STL,LF,1575,,1287,,,1863
Xavier Guillen,20,A,TBR,RF,1575.6666666666667,1525,,1475,,1727
Jack Hurley,23,AA,ARI,CF,1575.8,1490,983,1677,1164,2565
Ludwing Espinoza,19,CPX,CHC,SS,1577,,,,,1577
Miguel Palma,23,AAA,NYY,C,1577.25,1272,1975,1568,,1494
Connor Hujsak,23,A,TBR,LF,1579.6,1602,318,1175,2528,2275
Jesus Lopez,20,A,TEX,C,1580.5,1234,1941,1935,,1212
Jacob Wetzel,25,A+,TOR,RF,1581,,,,,1581
Branden Boissiere,25,AA,WSN,1B,1581.2,1106,1958,1454,1014,2374
Coco Montes,28,MLB,TBR,2B,1581.3333333333333,1885,,1551,,1308
Richard Meran,19,DSL,NYY,CF,1581.5,,1324,,,1839
Diego Cartaya,23,AAA,MIN,C,1582,1561,,2153,,1032
Luis Chevalier,23,AA,KCR,1B,1582,,,,,1582
Daniel Mielcarek,19,DSL,LAD,2B,1584.5,,1322,,,1847
Edgar Alvarez,24,A+,CHC,1B,1586,1331,1938,1255,1060,2346
Brody Moore,24,AAA,STL,2B,1586.6,1265,2080,1083,861,2644
Armstrong Muhoozi,17,DSL,PIT,SS,1587,,,,,1587
Luke Scherrer,20,A,PIT,C,1587.6666666666667,1451,,1557,,1755
Wyatt Young,25,AAA,NYM,SS,1588.4,1457,2106,1809,942,1628
Leonardo Pineda,18,CPX,TBR,CF,1589,,1124,,,2054
Chase Adkison,25,AA,STL,C,1589.25,1317,2078,1683,,1279
Harry Genth,22,AA,MIN,2B,1590,,,2137,,1043
Adolfo Miranda,18,DSL,NYM,CF,1590,,1400,,,1780
Jordan Nwogu,26,AA,CHC,OF,1590.25,1507,1023,1678,,2153
Hayden Gilliland,23,AA,TOR,C,1591.3333333333333,1262,,1615,,1897
Luis Verdugo,24,AAA,SDP,3B,1594,1483,,1714,1051,2128
Pedro Roque,19,DSL,KCR,2B,1595,,,,,1595
Cade Doughty,24,AA,TOR,2B,1595.4,1390,1709,1541,1066,2271
Edgar Alfonso,21,A,LAA,2B,1597.6666666666667,,1241,984,,2568
Willian Berti,19,DSL,DET,OF,1599,,,,,1599
Phil Clarke,27,AAA,TOR,C,1599.5,1343,2037,1339,,1679
Kevin Guerrero,21,A+,BAL,CF,1600.75,1273,,1478,1131,2521
Wilber Sanchez,23,A+,CHW,2B,1603.8,1472,1018,1684,1145,2700
Shawn Ross,25,AAA,PIT,C,1604,1597,1720,2006,1104,1593
Keiberg Camacaro,18,DSL,SFG,SS,1604,,,,,1604
Hayden Cantrelle,26,AAA,CHC,2B,1604.25,1319,2064,1332,,1702
Caden Rose,23,AA,BOS,CF,1604.75,1316,,1782,1056,2265
Daniel Silva,20,CPX,NYM,C,1608,,,,,1608
Alexander Ramirez,22,AAA,LAA,RF,1608.25,1281,,1944,958,2250
Chris Williams,28,AAA,NYM,C,1608.6666666666667,1838,,2028,,960
Jose Perez,20,DSL,BAL,2B,1609,,1274,739,,2814
Santiago Contreras,19,DSL,SDP,OF,1610,,1246,,,1974
Eric Brown Jr.,24,AA,MIL,SS,1610.25,1628,850,2034,,1929
Justin Connell,26,AA,MIN,CF,1610.3333333333333,1697,,1899,,1235
Luis Rives,20,CPX,HOU,RF,1611,,,,,1611
Darlin Moquete,25,AA,STL,RF,1612,1521,,1693,1176,2058
Feliz Genao,17,DSL,ARI,3B,1612.5,,1408,,,1817
Mario Camilletti,26,AAA,CHW,2B,1613.6,1547,1974,1734,896,1917
Lyle Miller-Green,24,A+,CHW,1B,1614.4,1588,1866,1461,1094,2063
Adam Hall,26,AAA,MIL,LF,1615,1533,,1758,1009,2160
Jackson Feltner,23,A+,ARI,1B,1615.75,1344,,1724,1099,2296
Josias Ramirez,19,DSL,CHC,CF,1616,,,,,1616
Franco Willias,20,DSL,SFG,1B,1617,,1334,,,1900
Roismar Quintana,22,A+,WSN,RF,1617.25,1719,,1594,1120,2036
Yorman Licourt,21,A,TOR,CF,1618,,1428,1158,,2268
Reylin Perez,20,AAA,HOU,SS,1618,1512,,1862,462,2636
Hansel Jimenez,18,DSL,CIN,3B,1618.5,,1607,,,1630
Trey Paige,24,AA,STL,2B,1618.8,1329,2042,1308,953,2462
Albertson Asigen,23,A,CHW,RF,1623,,,,,1623
Moises Valdez,19,DSL,SDP,OF,1623,,1452,,,1794
Cesar Mujica,18,A,PHI,C,1623,,,1969,,1277
Yordys Valdes,23,AAA,CLE,SS,1624.6,1092,2012,1333,991,2695
Hendry Arvelo,18,DSL,LAD,3B,1625,,,,,1625
John Wimmer,20,A,LAA,SS,1625.6,981,1980,1411,992,2764
Brailyn Antunez,17,DSL,MIL,CF,1627.5,,1486,,,1769
Victor Izturis,20,CPX,CLE,C,1627.5,,1367,,,1888
Jean Walters,23,AAA,ARI,2B,1627.8,1476,1880,1281,917,2585
Casey Yamauchi,24,AA,ATH,SS,1629,1711,569,1106,2294,2465
Diego Rondon,17,DSL,LAA,C,1629,,,,,1629
Kobe Kato,26,AAA,ATL,2B,1629,1498,,1898,,1491
Reginald Preciado,22,A+,CHC,SS,1631.8,1356,1869,1270,977,2687
Kai Murphy,24,AA,SDP,LF,1632.4,1214,1951,1688,1092,2217
Jose Perdomo,18,CPX,ATL,SS,1634,,1305,,,1963
Jose Monserrate,20,CPX,MIA,LF,1634,,,,,1634
Kai Roberts,24,A+,SDP,CF,1634.4,1456,1905,1363,1150,2298
Cam Fisher,24,A+,HOU,RF,1635.5,1713,,1430,980,2419
Carlos Matias,18,DSL,TBR,CF,1636,,,,,1636
Beycker Barroso,22,A,TEX,1B,1636.6,1645,1818,1769,1100,1851
Mason Lytle,24,A+,HOU,OF,1636.6666666666667,1721,,1829,,1360
Corey Collins,23,A+,NYM,1B,1637.4,1397,2122,1685,952,2031
Jack Gurevitch,21,A,STL,1B,1637.6666666666667,1098,,1943,,1872
Addison Kopack,23,AAA,SDP,1B,1637.6666666666667,1492,,1697,,1724
Luis Corobo,18,CPX,MIL,C,1638,,1655,,,1621
Grae Kessinger,27,MLB,FA,3B,1639,,,,,1639
Josh Zamora,26,AA,MIA,3B,1640.25,1575,,1719,1158,2109
Richie Bonomolo Jr.,21,A,NYY,OF,1640.6666666666667,1287,,1901,,1734
Jose Camacho,18,DSL,LAA,1B,1641,,,,,1641
J.J. D'Orazio,23,AA,LAA,C,1642.8,1405,1871,1548,935,2455
Bryan Broecker,23,A+,TBR,C,1643,1212,2190,1641,862,2310
Francisco Caldera,19,DSL,HOU,C,1643,,,,,1643
Angel Acosta,22,A,KCR,C,1643.25,1720,,1304,1135,2414
Yelinson Betances,17,DSL,LAA,CF,1644,,,,,1644
Jefferson Valladares,23,A+,MIN,C,1644.75,1633,,1481,1022,2443
Heriberto Caraballo,20,A,STL,C,1645.5,1231,1732,1533,,2086
Jack Winkler,26,MLB,MIA,SS,1647,1334,1670,1495,,2089
Carlos Torres,17,DSL,TEX,C,1647,,,,,1647
Ricardo Pena,20,A,MIN,C,1648,,1403,1992,,1549
Luke Waddell,26,AAA,ATL,SS,1649.25,1066,1848,1459,,2224
Joaquin Arias Jr.,18,DSL,TEX,CF,1649.5,,1540,,,1759
Sean McLain,24,AA,LAD,SS,1649.6,1282,1900,1479,941,2646
Rickardo Perez,21,CPX,PHI,1B,1650,,,,,1650
Marcus Brown,23,A+,WSN,SS,1650.2,1338,1825,1360,1103,2625
Luis Ravelo,21,AA,BOS,SS,1650.3333333333333,1052,,2120,,1779
Ripken Reyes,28,AAA,SDP,2B,1651.5,1878,954,1523,,2251
Phillip Sikes,26,AAA,BOS,RF,1653,1662,873,1971,2527,1232
Darwin Nunez,17,DSL,TOR,1B,1653,,,,,1653
Micah Pries,27,AAA,CLE,1B,1653,1775,,2014,,1170
Mayki De La Rosa,17,DSL,ARI,CF,1655,,1617,,,1693
Dean Curley,21,A,CLE,SS,1655,,,,,1655
Brady Day,23,A,PHI,SS,1656.6,1468,1788,1402,1098,2527
Erny Orellana,18,DSL,LAD,CF,1657,,1646,,,1668
T.J. McCants,24,A+,CHW,CF,1658.2,1531,554,1448,2388,2370
Yerlin Luis,19,A,CLE,RF,1658.6666666666667,1010,,1679,,2287
Henniel Alcala,19,CPX,CHC,C,1659,,,,,1659
