Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Yordanny Monegro,22,AA,BOS,173.9,54,70.5,721,9,15
Wen-Hui Pan,21,A+,PHI,174.25,,36.5,,,312
Logan Henderson,23,MLB,MIL,175.7,101,394.5,281,76,26
Braden Davis,22,A+,STL,176.4,242,107,51,150,332
Brycen Mautz,23,AA,STL,177.7,83,408.5,174,103,120
Luis Perales,22,AAA,WSN,178.5,,332,,,25
Liam Doyle,21,AA,STL,179,,,,,179
Esteban Mejia,18,A,BAL,179.5,,,254,,105
Blade Tidwell,24,MLB,SFG,179.6,119,387,100,199,93
Antwone Kelly,21,AA,PIT,180.1,160,434.5,20,75,211
Brady Tygart,22,A+,BOS,180.5,,,,197,164
David Morgan,25,MLB,SDP,181.75,,261.5,,,102
Ronan Kopp,22,AAA,LAD,185.66666666666666,,65,,383,109
Zach Thornton,23,AA,NYM,187,109,308,276,26,216
Blake Money,23,AA,BAL,187.4,356,216,150,52,163
Santiago Suarez,20,AAA,TBR,188.8,145,525,44,21,209
Luis F. Ortiz,28,MLB,NYM,189,,,,,189
Eduardo Rivera,22,AA,BOS,190.7,286,249.5,80,80,258
Tekoah Roby,23,AAA,STL,191.6,122,547,181,49,59
Yorman Gomez,22,AA,CLE,193.6,188,356,23,74,327
Dylan Jordan,19,A,LAA,194.2,56,245,146,207,317
Miguel Mendez,22,AA,SDP,197.1,170,249.5,86,131,349
Ethan Pecko,22,AAA,HOU,200.8,132,399,266,92,115
George Klassen,23,AAA,LAA,201.3,275,314.5,286,83,48
Ixan Henderson,23,AA,STL,202.1,65,403.5,84,202,256
Owen Murphy,21,A+,ATL,206.7,139,434.5,315,65,80
Brody Brecht,22,A,COL,207.6,217,33,465,248,75
Mason Molina,21,A+,STL,209.2,312,226,66,147,295
Drew Thorpe,23,MLB,CHW,209.75,,139.5,,,280
Jose Corniell,22,MLB,TEX,210.33333333333334,,277,,115,239
Leandro Lopez,23,AA,TEX,213,388,,124,95,245
