Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Ethan Roberts,27,MLB,CHC,503,,458,,,548
Andy Fabian,22,A,BAL,504,,,600,336,576
Yunior Marte,21,A,SFG,504,272,,155,299,1290
Daison Acosta,26,AAA,SDP,504.75,,70.5,,,939
Luis Mey,24,MLB,CIN,505.8333333333333,,192.5,,941,384
Paul Bonzagni,23,A+,TEX,508.5,,785,,,232
Seth Clausen,22,A,COL,509,,,,,509
Nolan Hoffman,27,MLB,PHI,510.5,,559,,,462
Yoniel Curet,22,AAA,PHI,511.6,212,721,918,456,251
Adrian Rodriguez,24,A+,TEX,512.6666666666666,,24,,183,1331
David Sandlin,24,AAA,BOS,513.875,258,1079.5,,455,263
Leonard Garcia,21,A+,LAA,514.6666666666666,,149,,452,943
Darick Hall,29,MLB,PIT,515,,,,,515
Sayer Diederich,24,A,BAL,515,572,,743,194,551
Joey Oakie,19,A,CLE,516,,848,415,224,577
Jack Mathey,21,AAA,SDP,517,,,,,517
Kendry Rojas,22,AAA,MIN,519.2,882,834,492,105,283
Gabriel Reyes,21,A,DET,520.8,337,349,341,458,1119
Jaron DeBerry,22,AA,MIL,521.9,636,1386.5,215,128,244
Jack Choate,24,AA,SFG,522.25,689,639,,389,372
Julian Fernandez,29,MLB,WSN,523,,834,,,212
Felix Arronde,22,A+,KCR,523.5,353,1079.5,136,301,748
Chase Isbell,23,A+,KCR,525,,324,,,726
Alimber Santa,22,AAA,HOU,526,,377,,566,635
Nick Hernandez,30,MLB,FA,526.5,,58,,,995
Nic Enright,28,MLB,MIA,526.75,,342.5,,,711
Pablo Aldonis,23,A+,WSN,527.6666666666666,,127,,304,1152
Leonel Sequera,19,A,STL,528.7,310,876.5,154,390,913
Gunnar Hoglund,25,MLB,ATH,530.2,44,907,1112,295,293
Dom Hamel,26,MLB,TEX,531,785,387,,,421
Luke Craig,23,A+,ARI,532,,,,,532
Carson Palmquist,24,MLB,COL,532.1,84,683.5,339,884,670
Jose Montero,21,A+,CIN,533.2,292,891,159,419,905
Owen Wild,22,AA,TBR,536.3,516,1444.5,218,203,300
Grant Wolfram,28,MLB,BAL,536.3333333333334,,308,1164,,137
Drew Dowd,23,A+,TBR,536.6666666666666,,114,,407,1089
Chase Petty,22,MLB,CIN,537,326,1365,128,488,378
James Gonzalez,24,AAA,ATH,537,407,1116,505,344,313
Bryan Mata,26,AAA,BOS,537.3333333333334,,532,,874,206
Spencer Bengard,23,A+,MIN,538.2,530,518,573,428,642
Melkis Hernandez,20,A,CLE,538.9,320,825.5,110,288,1151
TJ Shook,27,AAA,NYM,540.75,,598.5,,,483
Luis Beltran,21,A,BAL,542.3333333333334,,,460,834,333
Blake Wehunt,24,AA,BOS,542.6,493,907,701,410,202
Cameron Weston,24,AAA,BAL,542.7,397,1192.5,107,695,322
Eric Cerantola,25,AAA,KCR,544.8333333333334,,314.5,,767,553
Juan Morillo,26,MLB,ARI,545.5,,365.5,1073,,198
Liam Sullivan,23,A,WSN,545.5,307,806.5,683,172,759
Magnus Ellerts,24,AA,CLE,545.6666666666666,,332,,815,490
Enderson Mercado,18,A,MIL,547,223,,371,405,1189
Sammy Peralta,27,MLB,CHW,547.5,291,704,728,,467
Dakota Hawkins,25,AAA,NYM,548.25,,297,389,378,1129
Will Johnston,24,AAA,ATH,549.1666666666666,,320.5,,622,705
Joe Whitman,23,AA,SFG,549.2,450,1431,313,278,274
Harry Gustin,23,AA,SDP,549.75,758,308,,412,721
AJ Blubaugh,24,MLB,HOU,549.9,528,609.5,308,959,345
Edgardo Henriquez,23,MLB,LAD,551.5,,144,1424,617,21
Sam Carlson,26,AAA,LAD,551.75,,573.5,,,530
Matt Seelinger,30,AAA,DET,552.25,,439.5,,,665
Greg Farone,23,A+,SFG,554.7,910,716.5,392,285,470
Kevin Camacho,20,A,CHC,555.2,316,391,294,302,1473
Zack Qin,18,A,SDP,556,,,,,556
Garrett McMillan,24,AA,PIT,557.5,134,876.5,602,141,1034
Samuel Dutton,22,A,ATH,558,,,,,558
Ben Vespi,24,AA,BAL,560.75,883,332,,271,757
Cole Peschl,22,A+,MIN,561.2,556,698,455,201,896
Patrick Reilly,23,AA,PIT,561.25,,817.5,,,305
Connor Foley,21,A,ARI,564,,,,,564
Ashton Izzi,21,A+,ARI,565,160,1098,473,276,818
Brent Francisco,24,A,MIN,565.5,,,619,,512
Logan Tabeling,23,A+,LAD,566.2,542,515,502,764,508
Anthony Maldonado,27,MLB,ATH,566.25,,232.5,,,900
Ben Simon,23,AA,NYM,566.3333333333334,,221,,393,1085
Blane Abeyta,26,AA,ATL,566.5,,387,,,746
Riley Frey,23,AA,ATL,568,892,588,334,229,797
Luke Fox,23,AA,LAD,568.1,780,825.5,257,341,637
Jacob Gomez,23,A+,ATL,568.6666666666666,,97,,742,867
Brandon Barriera,21,A,TOR,569,,,,,569
Manuel Genao,19,AAA,MIA,569.6666666666666,,,25,661,1023
Jake Bennett,24,AA,BOS,571,827,891,356,294,487
Irvin Machuca,25,A+,CIN,573,,,,604,542
Andrew Magno,27,AAA,BAL,573.25,,249.5,,,897
Michael Kennedy,20,A+,CLE,573.8,184,1431,571,286,397
Nate Dohm,22,A+,STL,574.9,624,690.5,500,338,722
Sebastian Gongora,23,A+,BAL,575.4,728,482,551,471,645
Carter Baumler,23,AA,TEX,575.5,,218,556,397,1131
Antonio Knowles,25,AAA,LAD,576.5,,210.5,,626,893
Daviel Hurtado,20,A,NYM,576.6,218,1179,485,457,544
Trenton Denholm,25,AAA,CLE,577.1,648,1213.5,161,264,599
Zach Maxwell,24,MLB,CIN,577.6666666666666,,284,,1164,285
Alonzo Tredwell,23,AA,HOU,577.7,1222,528.5,305,174,659
Sean Matson,23,A+,CLE,578.2,1140,195,297,274,985
Blake Holub,26,AAA,MIL,578.75,,629.5,,,528
Jonathan Russell,20,A,TBR,578.75,,152,681,321,1161
Cam Sanders,28,MLB,PIT,579.75,,264.5,,,895
Gerald Ogando,24,AA,BAL,580.8333333333334,,434.5,,795,513
Simon Miller,24,AA,CIN,581.3333333333334,,377,,623,744
Ryan Ramsey,24,AAA,KCR,581.5,538,1079.5,122,481,687
Javier Perez,21,A,HOU,583.5,446,,411,214,1263
Xavier Martinez,22,A+,CLE,585,,288,,493,974
Austin Ehrlicher,22,A+,BOS,586.1,333,320.5,499,536,1242
Dedniel Núñez,29,MLB,NYM,586.75,,978.5,,,195
Franklin Gomez,19,A+,CLE,588.8,190,1051,213,340,1150
Christian Little,21,A+,SEA,588.9,354,817.5,324,434,1015
Diego Castillo,27,MLB,MIN,589,,,,,589
Brady Basso,27,MLB,ATH,589.25,,959.5,,,219
Alan Rangel,27,MLB,LAA,589.375,737,924.5,458,,238
Carson Laws,22,A+,MIA,590,,,,,590
Luke Russo,24,AA,PHI,590,,742,779,287,552
Daniel Robert,30,MLB,PHI,590.5,,327.5,1129,,315
Alexander Cornielle,23,AAA,NYY,591.2,440,1338,56,359,763
Jackson Smeltz,25,A+,SDP,593,,,,,593
Bradley Hanner,26,AAA,NYY,593.25,,503.5,,,683
Izack Tiger,23,A+,TEX,593.25,,791.5,,,395
Andrew Baker,25,AA,PHI,594.8333333333334,,663.5,,560,561
Trent Baker,26,AAA,MIN,595.1666666666666,187,924.5,,,674
Bryce Collins,24,A+,CHW,596,,417,,,775
Austin Peterson,25,AAA,CLE,597.1,934,924.5,137,376,614
Tyler Renz,18,A,MIL,597.3333333333334,,,314,219,1259
Yoel Tejeda Jr.,21,A+,WSN,597.5,214,1376.5,240,213,944
Juan Carela,22,AA,FA,598,,737,,,459
Dylan Carmouche,23,A+,SFG,598.2,445,899,443,188,1016
Roque Gutierrez,22,AA,LAD,598.4,1008,1026,210,189,559
Ian Mejia,25,AAA,ATL,599,773,1143,96,270,713
Walter Pennington,27,MLB,BAL,599.8333333333334,,345.5,1095,,359
Peyton Pallette,24,AAA,CLE,600,,155,,476,1169
Spencer Giesting,23,AAA,ARI,600.2,384,1284,148,530,655
Amos Willingham,26,MLB,FA,602.5,,559,,,646
Trey Dombroski,24,AAA,HOU,604.3,323,1130.5,48,353,1167
Lucas Wepf,25,AA,LAD,605.625,,261.5,887,841,433
Dennis Colleran,21,AA,KCR,605.6666666666666,,332,,579,906
J.B. Bukauskas,27,MLB,MIL,606,,1059,,,153
Alejandro Hidalgo,22,AA,MIN,606.7,392,1325.5,381,254,681
Irving Cota,21,AA,NYM,607.2,338,1098,116,158,1326
Chris Campos,24,AA,LAD,607.9,712,1403.5,186,332,406
Carlos Espinosa,23,AA,LAA,608,,544,,582,698
Noble Meyer,20,A+,MIA,608.3,472,1192.5,295,499,583
Nick Sando,24,AA,CIN,608.875,503,370.5,,404,1158
Cristhian Tortosa,26,AA,PHI,611,,462,,554,817
Jeremy Reyes,19,A,ATL,612.4,257,861,216,430,1298
Joel Peguero,28,MLB,SFG,613,,834,,,392
Ryan Magdic,25,A+,ATH,613.3,457,598.5,495,496,1020
Jackson Nezuh,23,AA,HOU,614.9,425,1290.5,521,387,451
Andre Lipcius,27,AAA,CHW,617,,,,,617
Jacob Waguespack,31,MLB,FA,617.3333333333334,,588,724,,540
Joe Jacques,30,MLB,SEA,618,,950,,,286
Josh Walker,30,MLB,BAL,619.25,,609.5,,,629
Cole Gilley,23,A,PHI,620,,,,,620
Jackson Baumeister,22,AA,TBR,624.6,597,1179,488,424,435
Jack Crowder,22,A+,BAL,625.7,626,924.5,537,260,781
Dominic Fletcher,27,AAA,CHW,626,,,,,626
Troy Taylor,23,MLB,SEA,629.1666666666666,,253.5,,1148,486
Jackson Wentworth,22,A+,TOR,630.8,523,1305,102,421,803
Jared Southard,24,AAA,LAA,631.5,,314.5,,752,828
Matt Gage,32,MLB,SFG,631.6666666666666,,482,960,,453
Nicolas Cruz,21,A+,LAD,631.6666666666666,,221,,363,1311
Luis Gonzalez,33,AAA,FA,632,,,,,632
River Ryan,25,MLB,LAD,632.25,,1203.5,,,61
Connor Phillips,24,MLB,CIN,632.8333333333334,,644.5,,1146,108
Garrett McDaniels,25,MLB,LAA,634.5,,302,885,1028,323
Edgar Moreta,21,A,NYM,634.9,259,1130.5,639,327,819
Mason Olson,23,A,TOR,635,,,734,705,466
Thomas Harrington,23,MLB,PIT,635.7,590,1403.5,345,522,318
Chris Clark,23,AA,TBR,636,902,968,92,215,1003
Tommy Molsky,22,A+,KCR,639.3333333333334,,498,,719,701
Douglas Orellana,23,AAA,NYM,640.3333333333334,,377,,635,909
Joel Diaz,21,A+,NYM,640.5,614,1355.5,135,171,927
Joey Volini,22,A+,MIA,641,,,,,641
Jose Franco,24,AAA,CIN,642,718,785,,477,588
Trent Sellers,25,AAA,NYY,644.2,647,955,599,568,452
Chase Lee,26,MLB,DET,644.5,,361.5,1154,,418
Dameivi Tineo,21,A,MIA,645.2,449,932,613,501,731
Robinson Pina,26,MLB,TOR,645.3,629,940.5,705,570,382
Jack Neely,25,MLB,CHC,645.6666666666666,,226,,1307,404
Freddy Tarnok,26,MLB,MIA,645.875,696,629.5,671,,587
Payton Martin,21,A+,LAD,646,577,1534,330,263,526
Cristofer Gomez,22,A+,NYM,646.5,,158.5,,478,1303
Johzan Oquendo,24,AA,CHC,648,,284,496,856,956
Rolddy Munoz,25,MLB,ATL,648.1666666666666,,491.5,,1006,447
Shea Sprague,22,A+,BOS,648.9,830,915.5,277,298,924
Raimon Gomez,23,A+,BAL,650.25,,413,707,1054,427
Yeiber Cartaya,22,A+,BAL,651.2,525,413,179,559,1580
Logan Rinehart,26,AAA,BAL,651.75,,503.5,,,800
Jared Lyons,24,AAA,CIN,653,438,1236,287,427,877
Trey Gregory-Alford,19,A,LAA,653.1,265,1256.5,219,780,745
Blake Aita,22,A+,STL,653.9,860,1278.5,151,204,776
Yujanyer Herrera,20,A+,COL,654.5,,955,,,354
Adam Kloffenstein,24,MLB,TOR,654.7,753,1444.5,390,460,226
Zach Agnos,24,MLB,COL,654.75,,110.5,,,1199
Ryan Webb,26,AAA,CLE,655,655,1098,506,745,271
Andrew Saalfrank,27,MLB,ARI,655.25,,327.5,,,983
Joe Rock,24,MLB,TBR,655.75,361,1270,,806,186
Brian Van Belle,28,MLB,TBR,655.875,429,1256.5,402,,536
Chris Cortez,22,A+,LAA,656.4,820,1116,188,793,365
Jackson Wolf,26,MLB,SDP,656.7,526,1213.5,454,605,485
Carson Montgomery,21,A,SDP,657,,,,,657
Andrew Walling,25,AAA,PHI,658.1666666666666,,280.5,,837,857
Jake Brooks,23,AA,COL,659.2,1028,1026,197,230,815
Nick Altermatt,25,A+,CHW,659.75,,318,816,545,960
Brandon Birdsell,25,AAA,CHC,661.375,,765.5,968,539,373
Cesar Perdomo,23,A+,SFG,661.7,587,999.5,206,402,1114
Austin Gordon,22,A+,LAA,663.3,654,1497.5,425,371,369
Saul Teran,23,AA,PHI,664.5,,158.5,,343,1492
Jesse Bergin,25,AA,MIA,665.5,,237.5,,828,931
Ty Langenberg,23,A+,MIN,665.5,487,1246.5,366,546,682
Luis Reyes,19,A,CHW,665.7,140,1541.5,255,339,1053
Travis Adams,25,MLB,MIN,666.1,491,940.5,570,836,493
Victor Juarez,22,AAA,COL,667.875,674,1106.5,,323,568
Victor Mederos,24,MLB,LAA,668.1,238,1714.5,253,535,600
Evan Fitterer,25,AAA,SDP,668.125,813,677.5,,601,581
Juan Bello,21,A+,HOU,668.2,240,1228,407,420,1046
Myles Caba,23,A+,LAD,668.3333333333334,,97,,783,1125
Thomas Balboni Jr.,23,A+,NYY,669.75,,466.5,,,873
Junior Sanchez,19,A+,ARI,670,552,1143,32,272,1351
Michael Prosecky,24,AA,COL,670.2,996,932,157,548,718
Teddy McGraw,23,A+,SEA,671.25,,1143,910,241,391
Brayden Risedorph,21,A+,CHC,671.6666666666666,,,648,587,780
Cade Smith,23,A+,NYY,671.7,616,806.5,753,358,825
Julian Aguiar,23,MLB,CIN,674.75,,940.5,,,409
Michael Watson,23,AA,STL,675.6666666666666,,284,,808,935
Nick Raquet,29,MLB,STL,675.75,,747.5,,,604
Cade Winquest,25,AA,NYY,675.8,954,968,430,431,596
Brendan Beck,26,AAA,NYY,680.75,1020,834,338,,531
Chay Yeager,22,AA,TOR,681.6666666666666,,184,,368,1493
Collin Baumgartner,26,AAA,COL,681.75,,452.5,,,911
Dylan Howard,22,A+,HOU,682.2,606,1098,628,300,779
Jhonathan Diaz,28,MLB,SEA,682.25,799,1284,459,,187
Kolton Curtis,21,A+,TEX,682.9,486,999.5,322,500,1107
Josh Simpson,27,MLB,MIA,683,,861,,,505
Steven Echavarria,19,A+,ATH,686.1,118,2020.5,144,374,774
Hunter Hodges,22,A+,NYM,687.1666666666666,,128.5,,787,1146
Joel Valdez,25,AAA,CIN,688,,635,,721,708
Royber Salinas,24,AAA,ATL,688.5,,1143,,,234
Carlos Carra,18,A,MIL,689,,,527,,851
Sandy Ozuna,19,CPX,COL,691,,,,,691
Jose Cabrera,23,AA,ARI,691.6,146,1940,280,305,787
Connor McCullough,25,AA,CHW,691.9,695,1278.5,664,386,436
Randel Clemente,23,AA,STL,692,,226,,643,1207
Joshua Cornielly,24,AAA,NYM,692.6666666666666,,511,,489,1078
Daniel Federman,26,A+,BAL,693.25,,765.5,,,621
Connor Noland,25,AAA,CHC,694.2,368,1527,175,646,755
Luke Lashutka,23,A+,MIA,697,1436,206,373,408,1062
Julio Mendez,20,A,MIA,697.9,308,1032.5,239,474,1436
Austin Love,26,AA,STL,699,,458,,,940
Tim Naughton,29,AAA,DET,699,,391,838,,868
Hunter Alberini,23,A+,KCR,699,,,,,699
Matt Gabbert,23,A+,MIN,699.6,441,755,483,396,1423
Enniel Cortez,18,A,MIL,700,,,,,700
Aldrin Batista,22,A+,CHW,700.25,,940.5,,,460
Steven Perez,24,AA,CLE,700.3333333333334,,377,,451,1273
Josh Stephan,23,AAA,TEX,701.6,793,1518,198,377,622
Trevor Martin,24,AAA,TBR,702.6666666666666,,698,,644,766
Gabriel Hughes,23,AAA,COL,704,586,1563,259,534,578
Riley Pint,26,MLB,CLE,704.25,,806.5,,,602
Ryan Costeiu,24,AA,LAA,704.8,788,1089,227,450,970
Yaqui Rivera,21,AA,BAL,705.25,,482,1032,584,723
Jaxon Dalena,23,A,SDP,706,,,,,706
Robinson Ortiz,25,AAA,SEA,706.6666666666666,,417,,963,740
Gage Ziehl,22,AA,CHW,708,1034,1179,171,120,1036
Bailey Dees,26,AAA,NYY,709.1666666666666,826,710.5,,,591
Diomedes Hernandez,20,AA,NYY,710,,,,,710
J.T. Etheridge,23,A,NYY,710.5,693,,1004,708,437
Rodney Boone,25,AA,CLE,711.6,496,1410,469,334,849
Angel Jimenez,21,A,COL,713.4,434,1348,657,542,586
Mike Paredes,24,AAA,MIN,713.5,410,605,,655,1184
Cedric De Grandpre,23,A+,ATL,713.8,766,1010,607,688,498
Connor Pavolony,25,AAA,BAL,714,,,,,714
Daury Vasquez,19,A,ARI,714,,,376,1025,741
Hayden Minton,24,A+,DET,714.2,1214,772,394,362,829
C.J. Culpepper,23,AA,MIN,714.3,418,1256.5,689,779,429
Luis Serna,20,A,NYY,715,,907,,,523
Adam Macko,24,AAA,TOR,715.1,539,1396.5,304,830,506
Cole Tolbert,21,A,BOS,716,,,,,716
Junior Fernandez,28,MLB,KCR,720.25,,1079.5,,,361
Garrett Burhenn,25,AA,DET,723,666,1365,300,413,871
Frank Elissalt,23,A+,STL,723.7,509,486.5,617,639,1367
Cole Wilcox,25,MLB,SEA,725,,778,,986,411
Brett Gillis,25,A+,HOU,725.6,383,1066,908,594,677
Jonathan Todd,23,A+,TOR,726.3333333333334,,565,,700,914
Eriq Swan,23,A+,WSN,726.5,801,1246.5,406,650,529
Lazaro Estrada,26,MLB,TOR,726.8,789,1010,684,682,469
Robert Stock,35,MLB,BOS,727,,1410,630,,141
Colin Barber,24,AAA,HOU,727,,,,,727
Michael Caldon,22,AAA,BAL,727.6,596,968,153,379,1542
Cristofer Melendez,27,AAA,PIT,729,,,,,729
Austin Pope,26,MLB,ATL,729.5,,658.5,,838,692
Dylan DeLucia,24,AA,CLE,730,966,1221,205,468,790
Jagger Haynes,22,AA,SDP,731.5,786,1459.5,221,551,640
Darwin Rodriguez,21,A,KCR,732.5,,,692,,773
Mike Brosseau,31,MLB,SDP,733,,,,,733
Josh Randall,22,A+,WSN,735.2,1120,1365,245,226,720
Erian Rodriguez,23,AA,CHC,737.5,303,1203.5,331,200,1650
Fraser Ellard,27,MLB,CHW,738,,605,1234,,375
Jake Higginbotham,29,AAA,SDP,738.5,,622,,,855
Gerardo Carrillo,26,AAA,TEX,738.6666666666666,,615,,898,703
Thomas Ireland,23,AA,TEX,738.7,741,716.5,328,355,1553
Brayan Castillo,24,AAA,COL,739.5,,422.5,,714,1082
Reidis Sena,24,AA,BOS,739.875,,690.5,738,907,624
Juan Nunez,24,AA,BAL,740.75,,1151.5,,,330
Andrew Dutkanych IV,21,A,STL,742,,,,,742
Evan Taylor,25,AA,CHC,742.5,,365.5,,946,916
Juanmi Vasquez,21,A+,TOR,742.6,249,891,552,192,1829
Hayden Cuthbertson,21,A+,MIA,743,,,,,743
Jacob Kisting,22,A+,TBR,743.125,948,474.5,,479,1071
Yunior Tur,25,AAA,ATH,744.9,744,876.5,143,603,1358
Shane Panzini,23,AAA,KCR,746.1,346,1497.5,272,328,1287
Juan Burgos,25,MLB,ARI,746.375,,337.5,751,1015,882
Evan Gates,27,AAA,PHI,746.5,,635,,,858
Jaden Hamm,22,AA,DET,746.6,550,1431,375,443,934
Donny Troconis,19,A,ATH,746.8,114,1143,388,583,1506
Carlos Pena,26,AAA,DET,747.2,769,1179,448,486,854
Luis Curvelo,24,MLB,TEX,747.8333333333334,,382.5,,1339,522
Moises Rodriguez,23,A+,DET,748.3333333333334,,108,,711,1426
Hagen Danner,26,MLB,SEA,748.75,,1018.5,,,479
Dylan MacLean,22,A+,TEX,749.1,610,791.5,344,418,1582
Brian Fitzpatrick,25,AAA,MIL,749.6666666666666,,482,,781,986
Ryan Dromboski,22,A+,PHI,749.9,918,868.5,347,312,1304
Nick Merkel,26,AA,MIL,750,,445,1070,,735
Mark Manfredi,25,AA,MIL,750.3333333333334,,413,,982,856
Justin Hagenman,28,MLB,NYM,750.375,848,1071.5,867,,215
Christian Montes De Oca,25,MLB,ARI,751,,639,1114,810,441
Spencer Bramwell,26,AAA,MIA,751,,,,,751
Yonny Hernandez,27,MLB,MIL,752,,,,,752
Jefry Yan,28,AAA,COL,752,,799,1205,,252
Drew Rom,25,MLB,STL,753,,1431,1050,482,49
Henry Williams,23,AAA,KCR,753.1,344,1548.5,192,333,1348
Gavin Collyer,24,AAA,TEX,756,,565,,1031,672
Jose Acuna,22,AAA,CIN,756.3,414,1753.5,480,445,689
Connor Schultz,26,AA,CHC,757.5,856,932,609,,633
Robert Cranz,22,A+,WSN,757.8333333333334,,139.5,,549,1585
Jesse Hahn,35,MLB,LAD,758,,1179,,,337
Samy Natera Jr.,25,AAA,LAA,758.5,,629.5,,813,833
Skylar Hales,23,AAA,STL,758.5,,361.5,,972,942
Nathan Wiles,26,MLB,ATL,758.625,668,1325.5,456,,585
Jonathan Pintaro,27,MLB,NYM,759.125,1552,573.5,839,,72
Chris Williams,28,AAA,NYM,760,,,,,760
Edinson Duran,22,AAA,NYY,761,,,,,761
Tyler Schweitzer,24,AAA,CHW,761,1110,1167,242,681,605
Colten Brewer,32,MLB,NYY,761.1666666666666,,653.5,1055,,575
Dariel Fregio,25,A+,DET,763.25,,356,676,883,1138
Kevin Warunek,22,A+,PHI,763.375,,466.5,703,485,1399
Darlin Saladin,22,A+,STL,763.7,653,1151.5,364,727,923
Brody Moore,24,AAA,STL,764,,,,,764
Yimi Presinal,20,A,KCR,764.375,,1159.5,651,388,859
Tony Rossi,25,A+,NYY,764.5,,187.5,,1079,1027
Aidan Deakins,21,A,TEX,765.6666666666666,,,670,675,952
Everett Catlett,22,A+,COL,765.75,754,907,,385,1017
Danny Watson,24,AA,NYY,766.3333333333334,,538,,580,1181
Kyle Backhus,27,MLB,PHI,766.5,,474.5,1418,,407
Tyler Schlaffer,24,AA,CHC,766.6,842,1636,262,311,782
Hyun-Seok Jang,21,A,LAD,767,442,834,718,965,876
Hayden Seig,26,AAA,LAA,767.5,,899,,,636
Harrison Cohen,26,AAA,NYY,768,,226,,1069,1009
Gerelmi Maldonado,21,A,SFG,768.6,682,622,560,1149,830
Brandt Thompson,22,AA,STL,769,880,1481,232,173,1079
Omar Cruz,26,MLB,SDP,769.3333333333334,273,1051,,,984
Marco Jimenez,25,A+,DET,770.1666666666666,,85.5,,816,1409
Jean Walters,23,AA,ARI,771,,,,,771
Cam Day,22,AA,LAD,773.375,664,683.5,,569,1177
Owen Hackman,23,A,ATL,774,636,855,579,447,1353
Mason Black,25,MLB,KCR,774.5,818,1130.5,391,1103,430
Michael Darrell-Hicks,27,MLB,PIT,774.75,,999.5,,,550
Tyler Schoff,26,AAA,WSN,775,,968,,,582
John West,23,A+,ARI,775.4,853,1576,444,497,507
Tristan Garnett,27,AAA,PHI,779.5,,428.5,982,,928
Carter Loewen,26,AAA,SDP,779.6666666666666,,470,809,,1060
Dylan Ray,24,AAA,ARI,780.9,790,1714.5,149,514,737
Easton Lucas,28,MLB,TOR,781.375,854,1032.5,845,,394
Zuher Yousuf,19,A,PHI,782.3333333333334,,,372,435,1540
Levi Jordan,29,AAA,CIN,783,,,,,783
Peter Van Loon,26,AAA,BAL,783.25,,959.5,,,607
Grant Richardson,25,AAA,NYY,784,,,,,784
Tommy McCollum,26,AAA,TBR,784.6666666666666,,214,,710,1430
Trey Supak,29,AAA,TEX,784.75,1400,1116,335,,288
Joe Miller,25,AAA,DET,786.4,968,1179,208,394,1183
Samuel Mejia,23,AA,ATL,786.7,757,791.5,278,267,1840
Rorik Maltrud,25,AA,CLE,786.9,672,1256.5,661,615,730
Yu-Min Lin,21,AAA,ARI,787.4,374,2132,421,654,356
Will Dion,25,AAA,CLE,787.75,573,1179,,713,686
Jagger Beck,18,CPX,HOU,789,,,,,789
Cade Feeney,22,A+,BOS,789,,445,,,1133
Garrett Davila,28,AAA,WSN,789.25,,765.5,,,813
A.J. Block,27,AA,LAA,789.25,,677.5,,,901
Eric Yost,22,AA,SDP,790.3,1358,1437.5,142,364,650
Joel Hurtado,24,AAA,LAA,791.1,823,1459.5,379,403,891
Richard Guasch,27,AA,BAL,792.1666666666666,,434.5,780,,1162
Michael Knorr,25,AAA,HOU,792.5,,732.5,,1048,597
Twine Palmer,20,A,BAL,793,537,1116,440,633,1239
Jacob Wallace,26,AAA,KCR,793.3333333333334,,498,787,,1095
Carlos Guzman,27,AAA,CHC,793.75,,327.5,,,1260
RJ Shunck,21,A+,MIA,794,,,,,794
Jonathan Brand,25,AAA,TEX,794.1666666666666,,434.5,,599,1349
Sam Armstrong,24,AA,MIN,794.8,740,1588,166,483,997
Brock Selvidge,22,AA,NYY,794.9,662,1753.5,438,515,606
Corey Avant,23,AAA,ATH,795.375,207,989.5,,571,1414
Jarret Whorff,26,AAA,MIN,796.5,,726.5,,867,796
Christian Romero,22,AAA,LAD,797.1,1116,1403.5,139,504,823
Bryan Perez,20,A,COL,798,,,,,798
Parker Chavers,26,AAA,CHC,799,,,,,799
Mike Walsh,24,AA,PIT,800,,206,,672,1522
Gus Varland,28,MLB,ARI,801.25,,1256.5,,,346
Alex Amalfi,24,AA,TOR,801.875,767,573.5,,663,1204
Hunter Patteson,25,AA,KCR,803.1,1080,1246.5,303,347,1039
Noah Edders,22,A,CHC,804,,,,,804
Juan Sanchez,23,AAA,SFG,805.25,,1130.5,,,480
Edgar Portes,22,AA,BAL,806,,968,,,644
Enrique Segura,20,A,TEX,807.4,522,1419,228,437,1431
Clay Edmondson,22,AAA,SDP,808,,,,,808
Connor Cooke,24,AAA,TOR,808.75,,710.5,,,907
Bryson Van Sickle,24,AAA,COL,809,,,,,809
Matt Sauer,26,MLB,FA,809.375,673,1376.5,852,,336
Brady Choban,24,AAA,LAA,810.3333333333334,,778,,858,795
Sean Boyle,28,AAA,SDP,810.875,967,1598.5,374,,304
Erick Brito,23,AAA,PHI,811,,,,,811
Alex Makarewich,23,A+,LAD,812.3333333333334,,284,,1153,1000
Trevor Kuncl,26,AA,CIN,813,,552,,,1074
Marcos Herrera,20,A,COL,813.1,494,1444.5,282,527,1318
Brett Wichrowski,22,AA,MIL,813.6,536,1983,200,508,841
Easton Sikorski,25,AA,CIN,814.625,581,466.5,,740,1471
Kendy Richard,20,A,ATL,815,,,343,322,1780
Jorge Marcheco,22,AA,ATH,815.1,824,1396.5,320,436,1099
Kenya Huggins,22,A+,ATH,815.2,355,799,348,613,1961
Eiver Espinoza,21,A,MIA,816,,,,,816
Tyler Samaniego,26,AA,BOS,816.3333333333334,,698,,829,922
Lewis Sifontes,19,A,ATL,817,,,719,,915
Jose Bello,20,A,BOS,818,,,474,1211,769
Hayden Snelsire,24,A+,TBR,819.3,747,710.5,323,416,1900
Jack Lopez,32,AAA,LAA,820,,,,,820
Josh Knoth,18,A,MIL,820.75,,1290.5,,,351
Adam Retzbach,24,AA,BAL,822,,,,,822
Jose Fleury,23,AAA,HOU,825.2,906,1179,311,564,1166
Noah Hall,24,A+,NYM,827.3,913,999.5,307,659,1258
Jared Johnson,23,A+,ATH,828.25,,466.5,,,1190
Adam Seminaris,26,AAA,MIL,828.375,765,1598.5,504,,446
Cody Bolton,27,MLB,FA,829,,891,,,767
Riley Cornelio,25,AAA,WSN,830.8,1464,1043,98,284,1265
Jake Miller,24,AA,DET,830.8333333333334,,649.5,1175,,668
Danny Wilkinson,24,A+,PHI,831.5,,245,,,1418
Patrick Weigel,30,MLB,COL,831.75,,1159.5,,,504
